"Gene Name","Protein IDs","fold1_vs_fold10_log2 fold change","fold1_vs_fold4_log2 fold change","fold10_vs_fold4_log2 fold change","fold1_vs_fold10_p.val","fold1_vs_fold4_p.val","fold10_vs_fold4_p.val","fold1_vs_fold10_p.adj","fold1_vs_fold4_p.adj","fold10_vs_fold4_p.adj","fold1_vs_fold10_significant","fold1_vs_fold4_significant","fold10_vs_fold4_significant","significant","imputed","num_NAs","Protein.names"
"sp|Q07533|CYK3_YEAST","sp|Q07533|CYK3_YEAST",-24.9,-7.85,17,1.36e-05,0.0669,0.000628,5.03e-05,0.145,0.003,TRUE,FALSE,TRUE,TRUE,TRUE,10,NA
"sp|Q07653|HBT1_YEAST","sp|Q07653|HBT1_YEAST",-24.6,-7.78,16.8,1.41e-05,0.0671,0.000655,5.06e-05,0.145,0.00309,TRUE,FALSE,TRUE,TRUE,TRUE,10,NA
"sp|Q07655|WHI4_YEAST","sp|Q07655|WHI4_YEAST",-17,0,17,0.00123,1,0.00123,0.0028,1,0.00477,TRUE,FALSE,TRUE,TRUE,TRUE,14,NA
"sp|Q07657|SHS1_YEAST","sp|Q07657|SHS1_YEAST",-10.5,-9.62,0.851,0.0206,0.0313,0.837,0.0345,0.0804,0.964,TRUE,FALSE,FALSE,TRUE,TRUE,2,NA
"sp|Q07793|YD13B_YEAST","sp|Q07793|YD13B_YEAST",-2.38,-1.69,0.69,1.78e-14,3.14e-12,8.85e-07,2.21e-13,5.57e-11,1.21e-05,TRUE,TRUE,FALSE,TRUE,FALSE,0,NA
"sp|Q07878|VPS13_YEAST","sp|Q07878|VPS13_YEAST",-20.6,0,20.6,1.38e-05,1,1.38e-05,5.03e-05,1,9.86e-05,TRUE,FALSE,TRUE,TRUE,TRUE,13,NA
"sp|Q07912|ACK1_HUMAN","sp|Q07912|ACK1_HUMAN",19.7,19.7,0,1.38e-05,1.38e-05,1,5.03e-05,0.000134,1,TRUE,TRUE,FALSE,TRUE,TRUE,13,NA
"sp|Q08229|NBA1_YEAST","sp|Q08229|NBA1_YEAST",-15.3,0,15.3,0.00123,1,0.00123,0.0028,1,0.00477,TRUE,FALSE,TRUE,TRUE,TRUE,14,NA
"sp|Q08245|ZEO1_YEAST","sp|Q08245|ZEO1_YEAST",-2.56,-1.57,0.988,4.93e-14,7.33e-11,5.04e-08,6.05e-13,1.24e-09,8.37e-07,TRUE,TRUE,FALSE,TRUE,FALSE,0,NA
"sp|Q08287|NOP8_YEAST","sp|Q08287|NOP8_YEAST",-22.7,-21.8,0.916,8.26e-06,1.32e-05,0.796,3.51e-05,0.000134,0.93,TRUE,TRUE,FALSE,TRUE,TRUE,5,NA
