"Gene Name","Protein IDs","fold1_vs_fold10_log2 fold change","fold1_vs_fold4_log2 fold change","fold10_vs_fold4_log2 fold change","fold1_vs_fold10_p.val","fold1_vs_fold4_p.val","fold10_vs_fold4_p.val","fold1_vs_fold10_p.adj","fold1_vs_fold4_p.adj","fold10_vs_fold4_p.adj","fold1_vs_fold10_significant","fold1_vs_fold4_significant","fold10_vs_fold4_significant","significant","imputed","num_NAs","Protein.names"
"sp|P42684|ABL2_HUMAN","sp|P42684|ABL2_HUMAN",0.443,0.0928,-0.35,0.000189,0.328,0.00154,0.000573,0.488,0.00942,FALSE,FALSE,FALSE,FALSE,FALSE,0,NA
"sp|P42858|HD_HUMAN","sp|P42858|HD_HUMAN",0.64,0.6,-0.0407,0.0114,0.0165,0.858,0.0217,0.0516,0.907,FALSE,FALSE,FALSE,FALSE,FALSE,0,NA
"sp|P43121|MUC18_HUMAN","sp|P43121|MUC18_HUMAN",0.4,0.0152,-0.385,0.676,0.987,0.687,0.731,0.99,0.78,FALSE,FALSE,FALSE,FALSE,TRUE,12,NA
"sp|P43243|MATR3_HUMAN","sp|P43243|MATR3_HUMAN",-0.165,-0.55,-0.385,0.541,0.0542,0.165,0.609,0.126,0.273,FALSE,FALSE,FALSE,FALSE,FALSE,0,NA
"sp|P43487|RANG_HUMAN","sp|P43487|RANG_HUMAN",0.053,-0.475,-0.528,0.724,0.00527,0.00247,0.771,0.0213,0.0133,FALSE,FALSE,FALSE,FALSE,FALSE,0,NA
"sp|P45880|VDAC2_HUMAN","sp|P45880|VDAC2_HUMAN",0.625,0.232,-0.392,0.000161,0.0876,0.00725,0.000499,0.183,0.0295,FALSE,FALSE,FALSE,FALSE,FALSE,0,NA
"sp|P45985|MP2K4_HUMAN","sp|P45985|MP2K4_HUMAN",-1.23,-0.317,0.908,0.325,0.796,0.462,0.399,0.861,0.593,FALSE,FALSE,FALSE,FALSE,TRUE,9,NA
"sp|P46013|KI67_HUMAN","sp|P46013|KI67_HUMAN",0.622,0.324,-0.297,2.51e-07,0.000419,0.000911,2.57e-06,0.00289,0.0062,FALSE,FALSE,FALSE,FALSE,FALSE,0,NA
"sp|P46087|NOP2_HUMAN","sp|P46087|NOP2_HUMAN",0.566,0.354,-0.212,1.75e-05,0.00168,0.0383,7.34e-05,0.00895,0.0955,FALSE,FALSE,FALSE,FALSE,FALSE,0,NA
"sp|P46100|ATRX_HUMAN","sp|P46100|ATRX_HUMAN",0.374,0.17,-0.204,0.000331,0.0553,0.0248,0.000964,0.128,0.0696,FALSE,FALSE,FALSE,FALSE,FALSE,0,NA
"sp|P46779|RL28_HUMAN","sp|P46779|RL28_HUMAN",1.22,0.611,-0.611,0.316,0.612,0.612,0.39,0.741,0.719,FALSE,FALSE,FALSE,FALSE,TRUE,12,NA
"sp|P46821|MAP1B_HUMAN","sp|P46821|MAP1B_HUMAN",0.545,0.207,-0.338,6.38e-07,0.0084,0.000159,5.15e-06,0.0306,0.00175,FALSE,FALSE,FALSE,FALSE,FALSE,0,NA
