"Protein","Label","log2FC","SE","Tvalue","DF","pvalue","adj.pvalue","issue","MissingPercentage","ImputationPercentage"
"sp|Q96QR8|PURB_HUMAN","BaP vs Control",0.123411530382776,0.297953066415887,0.414197886490341,10,0.687473506352565,0.84571799812404,NA,0.395833333333333,0.395833333333333
"sp|Q96QU8|XPO6_HUMAN","BaP vs Control",0.419901343797179,0.373417661196597,1.12448174639525,5,0.311874945545811,0.630379770628171,NA,0.416666666666667,0
"sp|Q96QZ7|MAGI1_HUMAN","BaP vs Control",0.0532259550331908,0.576186751802066,0.0923762215405383,5,0.929986186572311,0.964360105023917,NA,0.666666666666667,0.25
"sp|Q96R72|OR4K3_HUMAN","BaP vs Control",0.17953277019961,0.281182622167767,0.638491699150925,5,0.551248082788361,0.77078776041746,NA,0.416666666666667,0
"sp|Q96RD6|PANX2_HUMAN","BaP vs Control",-0.104942358776484,0.219865389455915,-0.477302767098437,3,0.665763103209759,0.835768744739433,NA,0.583333333333333,0
"sp|Q96RD7|PANX1_HUMAN","BaP vs Control",0.834848174456636,0.308830605097947,2.70325596192729,1,0.225562858960545,0.570519739357862,NA,0.75,0
"sp|Q96RE7|NACC1_HUMAN","BaP vs Control",0.181879669819904,0.209438080681367,0.868417382494116,10,0.405525025053918,0.688977515691856,NA,0.229166666666667,0.229166666666667
"sp|Q96RK0|CIC_HUMAN","BaP vs Control",0.390449538805415,0.156201267358477,2.49965666353619,5,0.054512988807218,0.460719605868612,NA,0.666666666666667,0.25
"sp|Q96RL1|UIMC1_HUMAN","BaP vs Control",0.742933458764454,0.358870974194564,2.07019656697471,6,0.0838646293443217,0.484951646707952,NA,0.333333333333333,0
"sp|Q96RP9|EFGM_HUMAN","BaP vs Control",0.141711967259262,0.152592345073926,0.928696437495652,10,0.374919675534109,0.670537722961004,NA,0.403846153846154,0.403846153846154
"sp|Q96RQ3|MCCA_HUMAN","BaP vs Control",0.398173982262912,0.194799801502295,2.04401636547983,10,0.0681876965002406,0.466952890014819,NA,0.341666666666667,0.341666666666667
"sp|Q96RR4|KKCC2_HUMAN","BaP vs Control",0.024888986830476,0.150177807587707,0.165730125044876,10,0.871672027291786,0.936193748714411,NA,0.333333333333333,0.333333333333333
"sp|Q96RS6|NUDC1_HUMAN","BaP vs Control",0.242641596283165,0.141569808373001,1.71393603672801,10,0.117311930326787,0.512818674572841,NA,0.175925925925926,0.175925925925926
"sp|Q96RT1|ERBIN_HUMAN","BaP vs Control",0.421831979140598,0.205551345876653,2.05219760221726,9,0.0703631195452807,0.469669620479373,NA,0.291666666666667,0.208333333333333
"sp|Q96RU3|FNBP1_HUMAN","BaP vs Control",-0.0830481350861845,0.40757810387388,-0.203760050642669,7,0.844338033852234,0.92515778450554,NA,0.25,0
"sp|Q96S44|PRPK_HUMAN","BaP vs Control",0.430182904671638,0.275059016495936,1.56396583595722,10,0.148891564057857,0.528810551374742,NA,0.472222222222222,0.472222222222222
"sp|Q96S52|PIGS_HUMAN","BaP vs Control",0.871586987584073,0.650892185502841,1.33906506637614,7,0.222396705077888,0.56985578023014,NA,0.25,0
"sp|Q96S55|WRIP1_HUMAN","BaP vs Control",0.256083300899933,0.226982281045816,1.12820833291495,10,0.285572064833495,0.609038512793517,NA,0.375,0.375
"sp|Q96S59|RANB9_HUMAN","BaP vs Control",0.00933333229545886,0.274838094606496,0.0339593836466593,10,0.973577824511181,0.986279426918372,NA,0,0
"sp|Q96S82|UBL7_HUMAN","BaP vs Control",0.273542723634028,0.137991702822285,1.98231283504281,10,0.0755813259333014,0.480830471145648,NA,0.166666666666667,0.166666666666667
"sp|Q96S94|CCNL2_HUMAN","BaP vs Control",Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"sp|Q96S97|MYADM_HUMAN","BaP vs Control",0.514432014085402,0.354794284075817,1.4499444809981,7,0.1903557537817,0.552802231253447,NA,0.555555555555556,0.305555555555556
"sp|Q96SB3|NEB2_HUMAN","BaP vs Control",0.0668479013691372,0.0780153336362225,0.856855931435764,8,0.416452008012293,0.696333551132239,NA,0.166666666666667,0
"sp|Q96SB4|SRPK1_HUMAN","BaP vs Control",0.246078699994324,0.152842696661119,1.61001281297677,10,0.138472904507312,0.521540228051386,NA,0.222222222222222,0.222222222222222
"sp|Q96SB8|SMC6_HUMAN","BaP vs Control",-0.231847286908958,0.160215971183216,-1.44709222929984,7,0.191125306371835,0.552802231253447,NA,0.541666666666667,0.291666666666667
"sp|Q96SE7|ZN347_HUMAN","BaP vs Control",0.00201307196688035,0.115537479797794,0.0174235405723191,10,0.986441463185067,0.991977288361586,NA,0,0
"sp|Q96SI9|STRBP_HUMAN","BaP vs Control",-0.131478542447119,0.128683470751228,-1.02172051841292,10,0.330994497774207,0.642758963915552,NA,0.138888888888889,0.138888888888889
"sp|Q96SL4|GPX7_HUMAN","BaP vs Control",0.13144379522946,0.280041297194179,0.469372898020527,10,0.648869910235113,0.828462282967244,NA,0.3125,0.3125
"sp|Q96ST2|IWS1_HUMAN","BaP vs Control",0.169884845129751,0.137347530152572,1.2368977071596,10,0.244384871813527,0.587501154674538,NA,0.116666666666667,0.116666666666667
"sp|Q96ST3|SIN3A_HUMAN","BaP vs Control",-0.269623866267209,0.280386963934803,-0.961613416271035,8,0.364403922608707,0.66712058503651,NA,0.583333333333333,0.416666666666667
"sp|Q96SU4|OSBL9_HUMAN","BaP vs Control",0.938700705244415,0.295586930981478,3.17571789161151,9,0.0112620027487016,0.460719605868612,NA,0.5625,0.479166666666667
"sp|Q96SW2|CRBN_HUMAN","BaP vs Control",-0.202994371836705,0.157634087300476,-1.28775682539884,4,0.267283029886661,0.595600273211596,NA,0.666666666666667,0.166666666666667
"sp|Q96SY0|INT14_HUMAN","BaP vs Control",0.375794283682914,0.661156533548914,0.568389276387771,8,0.585367461337651,0.789942875636466,NA,0.458333333333333,0.291666666666667
"sp|Q96SZ6|CK5P1_HUMAN","BaP vs Control",0.187003859208342,0.276963880870485,0.675192225862075,10,0.514861670519057,0.7506173109081,NA,0.466666666666667,0.466666666666667
"sp|Q96T23|RSF1_HUMAN","BaP vs Control",0.298839074093597,0.213387276970459,1.40045403988621,10,0.19163336063893,0.552802231253447,NA,0.393939393939394,0.393939393939394
"sp|Q96T37|RBM15_HUMAN","BaP vs Control",0.127195855034454,0.122487149525011,1.03844244500508,10,0.323521336957768,0.639021818919372,NA,0.325757575757576,0.325757575757576
"sp|Q96T51|RUFY1_HUMAN","BaP vs Control",0.124768017499177,0.127308521570139,0.980044508885744,10,0.350178945701564,0.658213282362209,NA,0.357142857142857,0.357142857142857
"sp|Q96T60|PNKP_HUMAN","BaP vs Control",0.688501332386197,0.693312800594848,0.993060176871791,8,0.34976358717788,0.65813754146274,NA,0.416666666666667,0.25
"sp|Q96T76|MMS19_HUMAN","BaP vs Control",0.189003475889372,0.303732048006267,0.622270442417957,10,0.547689472953999,0.770716672500667,NA,0.377777777777778,0.377777777777778
"sp|Q96T88|UHRF1_HUMAN","BaP vs Control",0.170439985788129,0.208233471605997,0.818504270584425,9,0.434205406815573,0.709021269559497,NA,0.416666666666667,0.333333333333333
"sp|Q96TA1|NIBA2_HUMAN","BaP vs Control",0.237221037069862,0.263383262765224,0.900668609612137,10,0.388940340679731,0.679079062646174,NA,0.3,0.3
"sp|Q96TA2|YMEL1_HUMAN","BaP vs Control",-0.0421281404531626,0.346166924607721,-0.121698918811792,7,0.906557428514792,0.952723665100259,NA,0.333333333333333,0.0833333333333333
"sp|Q96TC7|RMD3_HUMAN","BaP vs Control",-0.0669483306093543,0.577577709086274,-0.115912247921178,2,0.918311588408314,0.957836833843249,NA,0.666666666666667,0
"sp|Q99424|ACOX2_HUMAN","BaP vs Control",0.816640239801571,0.228356826434578,3.5761586485155,4,0.0232473435150837,0.460719605868612,NA,0.75,0.25
"sp|Q99426|TBCB_HUMAN","BaP vs Control",0.237596273931152,0.163949266084385,1.44920608433136,10,0.177903963492414,0.547343558911082,NA,0.325,0.325
"sp|Q99436|PSB7_HUMAN","BaP vs Control",0.10420056233357,0.200973371787956,0.518479445344182,10,0.615401613313677,0.809030842933564,NA,0.283333333333333,0.283333333333333
"sp|Q99439|CNN2_HUMAN","BaP vs Control",0.473411304654451,0.282684747194122,1.67469702328635,10,0.124933604733187,0.518187186182924,NA,0.342592592592593,0.342592592592593
"sp|Q99442|SEC62_HUMAN","BaP vs Control",0.430250501485863,0.320665328537012,1.34174312966362,6,0.228226826944739,0.573328574911677,NA,0.722222222222222,0.388888888888889
"sp|Q99447|PCY2_HUMAN","BaP vs Control",0.151726750648921,0.159705294110502,0.950042085292043,10,0.364486382630407,0.66712058503651,NA,0.169871794871795,0.169871794871795
"sp|Q99459|CDC5L_HUMAN","BaP vs Control",0.0347220637354609,0.197589996916969,0.175727841880841,10,0.864015229213678,0.935715237774646,NA,0.231060606060606,0.231060606060606
"sp|Q99460|PSMD1_HUMAN","BaP vs Control",0.203174457915485,0.163899803591844,1.23962599992765,10,0.243416039799998,0.586388484709508,NA,0.175347222222222,0.175347222222222
"sp|Q99470|SDF2_HUMAN","BaP vs Control",-0.00802022027156252,0.212255195363258,-0.0377857430431163,10,0.970602196111216,0.985192948078901,NA,0.395833333333333,0.395833333333333
"sp|Q99471|PFD5_HUMAN","BaP vs Control",-0.0949634477106395,0.386536708120351,-0.245677695586604,10,0.810900490698049,0.906643961162037,NA,0.263888888888889,0.263888888888889
"sp|Q99496|RING2_HUMAN","BaP vs Control",0.490432378322129,0.193481163070363,2.53478101195709,10,0.0296270704528192,0.460719605868612,NA,0.291666666666667,0.291666666666667
"sp|Q99497|PARK7_HUMAN","BaP vs Control",-0.148408867780244,0.213944255912469,-0.693680076369813,10,0.503676811085376,0.750142738632414,NA,0.05,0.05
"sp|Q99504|EYA3_HUMAN","BaP vs Control",0.265996262769531,0.516652887824671,0.514845206594101,7,0.622514459108003,0.81414102800344,NA,0.291666666666667,0.0416666666666667
"sp|Q99519|NEUR1_HUMAN","BaP vs Control",0.282241765529826,0.157119515957504,1.79635078309536,10,0.102660520292786,0.503782682315213,NA,0.115384615384615,0.115384615384615
"sp|Q99523|SORT_HUMAN","BaP vs Control",0.286456805597589,0.155902159528089,1.83741396825217,10,0.0960041921894523,0.501315173063969,NA,0.361111111111111,0.361111111111111
"sp|Q99536|VAT1_HUMAN","BaP vs Control",0.434292225135241,0.161687599407108,2.68599587555104,10,0.0228562612847247,0.460719605868612,NA,0.1625,0.1625
"sp|Q99538|LGMN_HUMAN","BaP vs Control",0.118320116422533,0.13740959629528,0.86107607920101,10,0.40936756946169,0.691280719870248,NA,0.111111111111111,0.111111111111111
"sp|Q99541|PLIN2_HUMAN","BaP vs Control",0.215480276789906,0.217122797607598,0.992435060547348,10,0.344391670452896,0.652169015130201,NA,0.199275362318841,0.199275362318841
"sp|Q99543|DNJC2_HUMAN","BaP vs Control",0.21213092556733,0.10841944855127,1.95657631911876,1,0.300793694744837,0.620368601065977,NA,0.75,0
"sp|Q99547|MPH6_HUMAN","BaP vs Control",0.0721002510497605,0.263933256027731,0.273176075402127,9,0.790882942524013,0.897117236888365,NA,0.5,0.416666666666667
"sp|Q99567|NUP88_HUMAN","BaP vs Control",0.211709995754629,0.169770386633358,1.24703724809113,10,0.240799994479917,0.583269892678206,NA,0.237179487179487,0.237179487179487
"sp|Q99575|POP1_HUMAN","BaP vs Control",0.0360684484174106,0.290788017117332,0.124036914502076,9,0.904012111239261,0.951408118850123,NA,0.633333333333333,0.55
"sp|Q99584|S10AD_HUMAN","BaP vs Control",0.247766998544482,0.291216601102994,0.850799705806797,5,0.433723900002227,0.708527226546416,NA,0.666666666666667,0.25
"sp|Q99590|SCAFB_HUMAN","BaP vs Control",-0.136583086992166,0.113313637435655,-1.20535436054398,10,0.255814213767943,0.59236381077558,NA,0.5,0.5
"sp|Q99598|TSNAX_HUMAN","BaP vs Control",0.357097582871037,0.283549242610528,1.25938471774207,10,0.236492387586083,0.578990033506864,NA,0.285714285714286,0.285714285714286
"sp|Q99611|SPS2_HUMAN","BaP vs Control",-0.0375010987915691,0.259332194013646,-0.144606414696032,10,0.887894535073487,0.943022117992744,NA,0.364583333333333,0.364583333333333
"sp|Q99613|EIF3C_HUMAN","BaP vs Control",0.170499572447168,0.123746333300787,1.37781514732028,10,0.198309168627686,0.557027937025866,NA,0.222222222222222,0.222222222222222
"sp|Q99614|TTC1_HUMAN","BaP vs Control",-0.0135096469898809,0.210398996151584,-0.0642096551646464,9,0.950206839187346,0.975834947726156,NA,0.5,0.416666666666667
"sp|Q99615|DNJC7_HUMAN","BaP vs Control",-0.0502033308913181,0.136862663559638,-0.366815386940368,10,0.721399510780228,0.860250913930147,NA,0.315789473684211,0.315789473684211
"sp|Q99622|C10_HUMAN","BaP vs Control",0.104422972675628,0.547300103318632,0.190796552097186,6,0.854977203593688,0.931121737153574,NA,0.333333333333333,0
"sp|Q99623|PHB2_HUMAN","BaP vs Control",0.266086490981145,0.194645441601843,1.36703171053673,10,0.201557471743788,0.557856623141443,NA,0.092948717948718,0.092948717948718
"sp|Q99624|S38A3_HUMAN","BaP vs Control",0.106888740579069,0.472444159659571,0.226246294707272,4,0.832100818254743,0.917842204922772,NA,0.75,0.25
"sp|Q99627|CSN8_HUMAN","BaP vs Control",0.10781032243984,0.162625497891097,0.662936156002025,10,0.52235800353702,0.756972298127209,NA,0.166666666666667,0.166666666666667
"sp|Q99638|RAD9A_HUMAN","BaP vs Control",0.410104312946491,0.698016697262626,0.587527941028882,3,0.598142574882474,0.799086726069271,NA,0.583333333333333,0
"sp|Q99653|CHP1_HUMAN","BaP vs Control",0.033720109454886,0.233496713193294,0.144413636465074,9,0.888355981240646,0.943022117992744,NA,0.333333333333333,0.25
"sp|Q99680|GPR22_HUMAN","BaP vs Control",-0.257232467384142,0.205040831980137,-1.25454264353093,9,0.241245134833849,0.583269892678206,NA,0.0833333333333334,0
"sp|Q99700|ATX2_HUMAN","BaP vs Control",0.0702716800329863,0.13240202881586,0.530744737535083,10,0.607180590124038,0.804337324250183,NA,0.416666666666667,0.416666666666667
"sp|Q99707|METH_HUMAN","BaP vs Control",0.56014918629726,0.268936329668334,2.0828319736053,10,0.063893397638487,0.46513003747852,NA,0.444444444444444,0.444444444444444
"sp|Q99714|HCD2_HUMAN","BaP vs Control",0.340863461496492,0.247684004304907,1.37620296657058,10,0.19879198078401,0.557027937025866,NA,0.1375,0.1375
"sp|Q99729|ROAA_HUMAN","BaP vs Control",0.132821116535752,0.280443423113616,0.473611094391549,10,0.645947353929188,0.827459093196614,NA,0.0357142857142857,0.0357142857142857
"sp|Q99733|NP1L4_HUMAN","BaP vs Control",0.10274943869199,0.16235559838207,0.632866619420109,10,0.541021711891669,0.767187717920823,NA,0.1125,0.1125
"sp|Q99735|MGST2_HUMAN","BaP vs Control",0.185169073598358,0.190079368027104,0.974167136182577,10,0.352948905129723,0.660456533643521,NA,0,0
"sp|Q99747|SNAG_HUMAN","BaP vs Control",-0.334988907477424,0.204973222104048,-1.63430571095466,8,0.140835372889652,0.524263387341893,NA,0.361111111111111,0.194444444444444
"sp|Q99757|THIOM_HUMAN","BaP vs Control",-0.162716758841396,0.253821994938791,-0.6410664248409,9,0.537459787316822,0.765842382208446,NA,0.0833333333333334,0
"sp|Q99766|ATP5S_HUMAN","BaP vs Control",Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"sp|Q99797|MIPEP_HUMAN","BaP vs Control",0.137555684255042,0.20491079347607,0.671295454580852,5,0.531791908780351,0.762344154771586,NA,0.722222222222222,0.305555555555556
"sp|Q99798|ACON_HUMAN","BaP vs Control",0.144216460628986,0.179422226465343,0.803782582961328,10,0.440210978711308,0.710472290666023,NA,0.128472222222222,0.128472222222222
"sp|Q99805|TM9S2_HUMAN","BaP vs Control",0.263704922450998,0.230285603099987,1.14512118387401,10,0.278825562906087,0.605899392527732,NA,0.284722222222222,0.284722222222222
"sp|Q99807|COQ7_HUMAN","BaP vs Control",-0.0852854588072238,0.242685541335107,-0.351423732695552,10,0.732562324368413,0.865920236476172,NA,0,0
"sp|Q99816|TS101_HUMAN","BaP vs Control",0.121447206816028,0.132166901584421,0.918892743645456,10,0.379782394779828,0.674573456835387,NA,0.227272727272727,0.227272727272727
"sp|Q99829|CPNE1_HUMAN","BaP vs Control",0.366749991100391,0.288646524733665,1.27058516099854,10,0.232639555548525,0.575838850980656,NA,0.149122807017544,0.149122807017544
"sp|Q99832|TCPH_HUMAN","BaP vs Control",0.380116402757039,0.180376398277726,2.10735110794137,10,0.0613147370182496,0.463742467155885,NA,0.176587301587302,0.176587301587302
"sp|Q99836|MYD88_HUMAN","BaP vs Control",0.598584643121524,0.244339017072303,2.44981194691634,9,0.0367680588805341,0.460719605868612,NA,0.5,0.416666666666667
"sp|Q99848|EBP2_HUMAN","BaP vs Control",0.0414217007285111,0.123387871343672,0.335703179554329,10,0.744031576677339,0.870965606969779,NA,0.286458333333333,0.286458333333333
"sp|Q99856|ARI3A_HUMAN","BaP vs Control",0.0922720804057645,0.14105826141748,0.654141625442793,10,0.527776861187025,0.76015127857377,NA,0.308333333333333,0.308333333333333
"sp|Q99873|ANM1_HUMAN","BaP vs Control",0.397691300959363,0.225183733815437,1.76607472582951,10,0.107836762503119,0.50723865978723,NA,0.166666666666667,0.166666666666667
"sp|Q99933|BAG1_HUMAN","BaP vs Control",0.222497099873685,0.27942854419155,0.796257592499793,8,0.44886366394291,0.715811561512722,NA,0.361111111111111,0.194444444444444
"sp|Q99943|PLCA_HUMAN","BaP vs Control",0.433220115010311,1.09074993175813,0.397176385161008,4,0.711518483390786,0.855045020263351,NA,0.5,0
"sp|Q99956|DUS9_HUMAN","BaP vs Control",0.034768943401547,0.412592717834778,0.0842694063627903,10,0.934505396014078,0.966745544862037,NA,0.166666666666667,0.166666666666667
"sp|Q99959|PKP2_HUMAN","BaP vs Control",0.138011684594116,0.176271385582309,0.782950018451363,10,0.451799727793309,0.718898542277672,NA,0.333333333333333,0.333333333333333
"sp|Q99961|SH3G1_HUMAN","BaP vs Control",0.0412484251926796,0.161587726636468,0.255269543369951,10,0.803688377904635,0.902595936765769,NA,0.316666666666667,0.316666666666667
"sp|Q99986|VRK1_HUMAN","BaP vs Control",0.460405665902327,0.255757759479661,1.80016304036688,10,0.102025143785243,0.503782682315213,NA,0.388888888888889,0.388888888888889
