"","sumIntensity_1","sumIntensity_2","sumIntensity_3","sumIntensity_4","sumIntensity_5","sumIntensity_6","sumIntensity_7","sumIntensity_8","sumIntensity_9","sumIntensity_10","sumIntensity_11","sumIntensity_12"
"sp|P11021|BIP_HUMAN",2166663333.33333,2571583172.04818,2129406104.15593,1953443988.71799,2880491675.12004,2200673205.1896,2057166087.47167,1875258313.76324,2240985187.7715,2131997066.69371,2446467311.79032,2457528989.87111
"sp|P11047|LAMC1_HUMAN",32447777.7777778,25579057.6195456,38643249.800607,34299362.9145015,24411526.6200283,32699065.579596,25570387.9632522,49794653.6978368,41544448.9859353,45597719.1058155,35205911.564347,29689105.7179518
"sp|P11117|PPAL_HUMAN",33372000,30301432.4882478,38702191.432521,36804000,21828530.1877156,34604000,25044000,43846026.2066073,36252000,38403512.4508253,34853950.0283096,30303262.3859593
"sp|P11142|HSP7C_HUMAN",2226027777.77778,2440203630.47201,1769955499.13617,1971788888.88889,2439734843.53042,2209618521.94235,2275633333.33333,1514729354.44551,1854356894.83296,1856424461.11458,2177734846.29563,1898982744.29882
"sp|P11166|GTR1_HUMAN",98500000,97610000,94710000,75940000,105345000,100700000,78800000,81880000,111590000,121190000,81210000,77700000
"sp|P11168|GTR2_HUMAN",13350000,5600000,22790000,15300000,-55000,13500000,6e+06,29280000,21900000,27600000,10800000,10150000
"sp|P11171|EPB41_HUMAN",53470000,49680151.2161567,64789547.732536,53686509.9318121,52921131.1595123,57191099.6464371,54433426.2286708,68090457.2541352,59426387.3165843,64797686.5456065,54917500,50946387.3165843
"sp|P11172|UMPS_HUMAN",93945000,98411018.0865421,77073151.9016642,93342500,105416685.537357,96985521.5085302,81250165.6017482,72727249.5956302,77346243.1081771,78785309.4494954,84270000,82179576.4415104
"sp|P11177|ODPB_HUMAN",222666245.820211,253385229.867738,200977500,193618072.366976,269293566.650879,209993749.365589,222743047.2805,173661067.939559,201635828.62367,193857425.25951,222963828.465916,239364486.574669
"sp|P11216|PYGB_HUMAN",214025000,221883010.408217,195025979.963166,210487500,220966223.65531,221229769.350929,201707980.291725,185113037.11248,191162258.175127,181398973.308305,211241573.836458,192813723.410153
"sp|P11279|LAMP1_HUMAN",396950000,NA,NA,375500000,424145000,398800000,320300000,300300000,366400000,333400000,386900000,346850000
"sp|P11310|ACADM_HUMAN",101350000,96250000,100540000,83600000,105945000,85700000,99600000,98050000,99350000,103300000,85300000,123400000
"sp|P11387|TOP1_HUMAN",45150000,37469225.3510774,50522704.9139517,54194350.9390028,35265101.880712,50794191.7068611,37356956.2610058,51142437.4152537,49179800.9612037,51276701.5746974,43694000,37535583.3079003
"sp|P11413|G6PD_HUMAN",259339992.733255,267801788.911671,223134447.862274,255114745.37826,288135791.472081,253031883.912701,282845704.54433,203526051.333613,235009376.098516,227552721.383988,243950135.950599,238184642.124017
"sp|P11498|PYC_HUMAN",148371490.697851,152298401.696894,132773928.998517,135962500,160597135.589384,149080488.236652,126243742.77761,109089600.655704,124505929.167049,124634041.293942,127092463.48246,134462221.939316
"sp|P11586|C1TC_HUMAN",110792026.312075,116128069.131148,98780832.8087589,114393717.448343,121974178.553789,111962700.777332,119624525.018579,100467296.803492,105713406.958817,105931933.922508,106078138.193485,108210667.339823
"sp|P11717|MPRI_HUMAN",37705495.6212472,34705043.8160205,47654546.0481831,41352105.2631579,32821689.8380303,42886141.682808,27208260.6070008,48819001.6259893,46228421.0526316,49962857.3492685,38499849.9575237,31804163.9318705
"sp|P11766|ADHX_HUMAN",396785142.03231,474693522.48332,340055000,401883333.333333,464601812.14097,388876268.98512,496221960.807167,254658266.149083,315535578.952133,289556902.258274,394966666.666667,452041574.942776
"sp|P11940|PABP1_HUMAN",218150000,257900000,221890000,221200000,339022272.727273,259850000,144150000,165800000,218900000,183400000,235850000,180850000
"sp|P12004|PCNA_HUMAN",584507418.066076,556123972.26062,420590000,462034520.416239,569895000,493690388.53711,600575000,378297839.641485,460200000,470400000,491400000,391350016.089682
"sp|P12081|HARS1_HUMAN",62551428.5714286,60544379.5490001,65045857.1428571,64782857.1428571,59872751.7991478,66635130.2847854,64688229.903627,58299562.0464579,57701995.8156774,63247568.7448821,60084285.7142857,48461011.2512743
"sp|P12236|ADT3_HUMAN",200950000,246400000,148590000,200650000,254645000,235950000,143800000,121800000,235900000,153300000,238900000,237350000
"sp|P12268|IMDH2_HUMAN",219337500,220125000,189640000,196495000,213544193.004394,200470889.849626,271727068.785476,167974241.559358,186150000,203017500,197638861.769334,181900000
"sp|P12270|TPR_HUMAN",61625882.3529412,59235801.5435295,69113422.9424002,70638159.1937987,58352211.1976656,63562046.7188075,57321453.7125339,73909628.9122429,65004207.2290312,69286735.3744778,63670906.1043695,64733904.7056422
"sp|P12277|KCRB_HUMAN",56620000,62666666.6666667,50139493.2042574,62113333.3333333,66781201.4067388,48199493.2042574,67582727.6628462,36426162.6194793,49629662.6194793,42639662.6194793,51394662.6194793,53459662.6194793
"sp|P12429|ANXA3_HUMAN",42350000,34650000,41490000,50900000,33295000,42950000,44850000,51377219.8324585,41550000,43800000,37700000,2.8e+07
"sp|P12814|ACTN1_HUMAN",206169000,213212716.30276,174690255.246683,188907114.636127,213758450.71955,178425313.684256,256856016.617465,151878814.460233,176219148.890949,182628302.805992,184615742.666707,204274741.405714
"sp|P12830|CADH1_HUMAN",38913333.3333333,42833333.3333333,47507142.8690419,33417142.8690419,44220333.9662096,43449275.5102464,26423828.3940411,44516666.6666667,51193333.3333333,44843333.3333333,37820000,39174706.6472943
"sp|P12931|SRC_HUMAN",2.9e+07,23750000,35490000,35950000,20945000,29250000,24100000,38805000,31300000,35740000,24700000,27450000
"sp|P12955|PEPD_HUMAN",107516666.666667,103866666.666667,104223333.333333,118637020.872033,99920139.0369705,98795139.0369705,150807838.358415,81587840.0909968,94324450.8027736,101775254.464103,103887840.090997,71237840.0909969
"sp|P12956|XRCC6_HUMAN",467281660.862586,540419918.631314,425091948.621634,445138896.626088,555137014.184096,452525263.087987,503820993.9078,352737917.830971,425583179.313473,402879529.537501,474050000,516357427.53766
"sp|P13010|XRCC5_HUMAN",540813636.363636,610585903.61736,456718319.277768,532240000,649994964.55044,539292550.70091,614517036.829245,341265432.242243,431235878.674846,413291114.356349,513927272.727273,532426579.337155
"sp|P13473|LAMP2_HUMAN",220802500,271670318.617671,143546176.136063,242902500,304894916.058435,225017063.875541,194562500,150570353.723521,184457500,151447439.880669,238052500,216010000
"sp|P13489|RINI_HUMAN",286634000,306343007.249547,232546865.695329,269682000,322721029.734608,268100489.231646,321383490.433469,205449564.002807,244272466.28477,231443842.505522,271300000,285874616.289505
"sp|P13639|EF2_HUMAN",1020156335.88871,1127217669.31941,827124877.855052,969379350.865699,1192165424.17432,978016744.59404,1217882817.46248,676341773.214115,877674208.267609,836889903.910175,976515755.248355,994591518.376571
"sp|P13667|PDIA4_HUMAN",738224736.842105,858601371.682321,718433198.060102,667181773.806067,934569722.985669,743379028.122437,691882936.340983,653782971.25887,782200422.951289,737907797.312948,827716397.951762,777888530.439342
"sp|P13674|P4HA1_HUMAN",118786670.612288,122928000,126276750.507418,114982810.317791,135439151.935916,107357193.617021,117559873.028456,97859479.1202787,110759456.483656,118502276.051104,113893445.685693,138297383.343679
