"","BaP_BP1","BaP_BP2","BaP_BP3","BaP_BP4","BaP_BP5","BaP_BP6","DMSO_BP1","DMSO_BP2","DMSO_BP3","DMSO_BP4","DMSO_BP5","DMSO_BP6"
"sp|P15907|SIAT1_HUMAN",23312172.0943238,29621453.8091377,22255917.054507,11804964.3970344,30392734.5321986,27342016.5111457,17094418.72738,20108363.3040624,40252032.2477363,29564185.2947255,24250651.4087355,26999315.9046787
"sp|P15924|DESP_HUMAN",286663394.373079,283707529.310401,1155614016.96854,349792892.997739,310815563.592923,860302588.557757,859989565.616193,1279867933.05124,239812107.46609,367628882.79518,316433524.024066,326450729.833768
"sp|P15927|RFA2_HUMAN",71050220.1474227,20402879.148248,36241021.0838645,42858010.6387226,14515965.2810356,13980660.0243904,59135019.1398591,23357220.452134,44765836.9339745,54621656.0069232,21491660.6163346,26071774.2464556
"sp|P16083|NQO2_HUMAN",43443676.0276634,25874663.4077852,26087706.6716121,26940480.0244109,25347885.2288953,19226176.8579791,48837385.51554,27695945.6545146,23823404.2321494,26123835.6351628,20934211.0009744,27709350.9305984
"sp|P16104|H2AX_HUMAN",71421892.8268486,51449522.0631616,160468733.125385,130748483.597607,121506087.559328,168731686.553099,48259815.2274513,75457698.6111802,NA,228575641.563497,210230809.615438,127652714.870214
"sp|P16152|CBR1_HUMAN",241045341.686702,258893389.380299,221441048.35776,280810755.633252,255483316.765401,258111671.746089,222820315.397925,196234371.877872,198494628.240512,174993803.259308,240866590.721043,230954497.751112
"sp|P16219|ACADS_HUMAN",75357217.1589159,82520187.6152864,90395866.072709,60832286.5588479,97789417.6406362,72980053.0992091,81726741.6664886,69666468.6347718,65065070.7877379,71859505.1090364,85463302.226917,97074401.0522701
"sp|P16220|CREB1_HUMAN",17825419.8384216,15134736.8917943,17910793.2410331,15658777.4987356,17427707.8478733,18234683.0247302,12606387.4295475,17066845.086641,15694484.6328162,25136611.5070161,20098378.5354962,27674101.2520466
"sp|P16278|BGAL_HUMAN",248557841.017869,264095667.742879,226754576.423376,213451403.131302,250666490.277238,241265072.654165,250724091.492143,184252404.074661,206149386.391379,174131815.641039,196084759.15127,265911210.027608
"sp|P16333|NCK1_HUMAN",NA,NA,10438029.7123223,NA,12800995.4932328,7380438.78355833,NA,11069457.3978349,NA,6169768.08565354,NA,NA
"sp|P16383|GCFC2_HUMAN",127177824.072693,125520271.150817,216513022.048927,NA,194085375.077332,91645923.9755782,19293824.5420844,12751291.6165494,377659931.52434,252065803.040203,140869873.037416,77768657.6212361
"sp|P16401|H15_HUMAN",43201475.6318851,25419878.6200399,68777554.6697336,42951600.599727,47538995.320336,51951735.9009349,22387937.9912038,37003006.4135371,35329524.4614271,34258772.201289,29628417.4874724,23686166.3741795
