ProteinName,Ibaq,IbaqLog,IbaqPpb,Condition
sp|P69905|HBA_HUMAN,4053380671839.525,96.81531153866074,10997988.121763535,prostate
sp|P68871|HBB_HUMAN,4027789096899.864,96.80617400963109,10928550.814984282,prostate
sp|P62736|ACTA_HUMAN,3105578450031.243,96.43104787887997,8426327.96419488,prostate
sp|P62805|H4_HUMAN,1569375101058.5,95.44637608310691,4258166.236382587,prostate
sp|Q01995|TAGL_HUMAN,1218511459483.7708,95.08130568565107,3306172.2158835563,prostate
sp|P07148|FABPL_HUMAN,1125591003944.4443,94.96686856999763,3054052.282172374,prostate
sp|P17661|DESM_HUMAN,867843662701.4166,94.59169294426142,2354709.5786605193,prostate
sp|P60709|ACTB_HUMAN,834277849627.0869,94.53478571367076,2263635.869237298,prostate
sp|P68431|H31_HUMAN,790001273306.8572,94.4561127504178,2143500.7771090646,prostate
sp|Q99879|H2B1M_HUMAN,758803746822.491,94.39798457433085,2058852.9106781648,prostate
sp|P05062|ALDOB_HUMAN,687889569593.3334,94.2564347521744,1866442.342322401,prostate
sp|P24844|MYL9_HUMAN,562603978170.7817,93.96637752580205,1526506.4819019632,prostate
sp|P0C0S8|H2A1_HUMAN;sp|Q6FI13|H2A2A_HUMAN;sp|Q96KK5|H2A1H_HUMAN;sp|Q99878|H2A1J_HUMAN,495173005294.0571,93.78219043897904,1343546.8492453496,prostate
sp|P07327|ADH1A_HUMAN,491832626710.4737,93.77242521401907,1334483.4409551602,prostate
sp|P02792|FRIL_HUMAN,480683894301.5833,93.73934623745585,1304233.7218854607,prostate
sp|P60660|MYL6_HUMAN,407210636496.9091,93.50003301747141,1104879.6315536585,prostate
sp|CONTAMINANT_P08263|CONTAMINANT_GSTA1_HUMAN;sp|P08263|GSTA1_HUMAN,376511638112.45715,93.38695223163958,1021584.4153091363,prostate
sp|P35749|MYH11_HUMAN,357890842921.51416,93.31377740291683,971060.8398279211,prostate
sp|P62937|PPIA_HUMAN,339475985465.0,93.237567293638,921096.0326787322,prostate
sp|P05091|ALDH2_HUMAN,338649717861.169,93.23405156562896,918854.1309112855,prostate
sp|P00325|ADH1B_HUMAN,308915446308.9,93.10146978184883,838176.4961623298,prostate
