"","Protein","Label","log2FC","SE","Tvalue","DF","pvalue","adj.pvalue","issue","MissingPercentage","ImputationPercentage"
"1","O00762ups|UBE2C_HUMAN_UPS","UPS2-UPS1",-4.16802034271208,0.315490057644447,-13.2112573493818,5,4.43900951363485e-05,0.00323129278733902,NA,0.505681818181818,0.380681818181818
"2","O76070ups|SYUG_HUMAN_UPS","UPS2-UPS1",-5.9439284266294,0.226239209684188,-26.2727598585879,6,2.00632741975681e-07,5.2941964788833e-05,NA,0.386904761904762,0.386904761904762
"3","P00167ups|CYB5_HUMAN_UPS","UPS2-UPS1",-0.888915966803279,0.195481221606201,-4.54732152530748,6,0.00390288016277918,0.190454873747309,NA,0.0227272727272727,0.0227272727272727
"4","P00441ups|SODC_HUMAN_UPS","UPS2-UPS1",-4.57806492495345,0.221607059517301,-20.6584796302305,3,0.000248041479964378,0.0145448767834667,NA,0.519230769230769,0.144230769230769
"5","P00709ups|LALBA_HUMAN_UPS","UPS2-UPS1",-4.1800760139731,0.203243808313848,-20.566806185398,6,8.59493581639725e-07,0.000129599353631533,NA,0.138888888888889,0.138888888888889
"6","P00915ups|CAH1_HUMAN_UPS","UPS2-UPS1",1.82262402974305,0.135397119115329,13.4613206074981,6,1.04142131256424e-05,0.000916016829509629,NA,0.0993589743589743,0.0993589743589744
"7","P00918ups|CAH2_HUMAN_UPS","UPS2-UPS1",1.86108520957152,0.15525687252526,11.987135766043,6,2.0433904680095e-05,0.00165301809720544,NA,0.155405405405405,0.155405405405405
"8","P01008ups|ANT3_HUMAN_UPS","UPS2-UPS1",-6.40232927875126,0.214293269509945,-29.8764832576981,6,9.32585790813789e-08,3.28114767401318e-05,NA,0.477040816326531,0.477040816326531
"9","P01031ups|CO5_HUMAN_UPS","UPS2-UPS1",2.04024526073787,0.168457787892838,12.1113145688209,6,1.92499568576476e-05,0.00162546635705977,NA,0.025,0.025
"10","P01112ups|RASH_HUMAN_UPS",NA,-Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"11","P01127ups|PDGFB_HUMAN_UPS","UPS2-UPS1",-5.2561653149195,0.215745600417634,-24.3627925887933,6,3.14393516998024e-07,6.77368882557872e-05,NA,0.391666666666667,0.391666666666667
"12","P01133ups|EGF_HUMAN_UPS","UPS2-UPS1",-0.522582859739677,0.431334052595758,-1.2115502047538,6,0.27122997476909,0.888064277593942,NA,0.145833333333333,0.145833333333333
