"","1_TechRep1","1_TechRep2","1_TechRep3","1_TechRep4","1_TechRep5","1_TechRep6","4_TechRep1","4_TechRep2","4_TechRep3","4_TechRep4","4_TechRep5","4_TechRep6","10_TechRep1","10_TechRep2","10_TechRep3","10_TechRep4","10_TechRep5","10_TechRep6"
"sp|P41920|YRB1_YEAST",2064249.83771664,41886944.9139883,53240058.8740924,53016658.8828138,52349930.0483699,52606964.5813287,220392161.01531,229856355.462435,229966820.235344,228604733.933871,213896158.629698,222922916.705218,445618623.74345,393065217.359986,289874784.263233,301650677.0495,280910820.044704,384524925.502771
"sp|P41940|MPG1_YEAST",7479292.35748419,NA,NA,NA,NA,11480273.6909669,5894597.31434458,9583784.21720633,10878045.9110995,NA,NA,NA,13703286.5150464,26096371.951415,17972978.8161471,17081658.2145287,19109779.0669857,20850722.1373047
"sp|P42073|REF2_YEAST",NA,NA,NA,NA,NA,NA,9046918.32437968,8531241.98134666,12424586.6244937,7115587.92512463,NA,NA,10511647.0520459,10908914.6227797,12733952.9945075,18803178.3379564,18213163.6235629,17820492.8334075
"sp|P42166|LAP2A_HUMAN",192206069.868241,187493467.369448,130544462.087393,165204655.42097,168945410.557355,120165460.975362,148282479.82753,151541073.609067,142860351.814684,143861861.052872,149348421.797279,149218616.25178,113617890.229439,118166220.721667,111906301.846551,91522010.4155497,114633226.590615,92256857.5278965
"sp|P42167|LAP2B_HUMAN",42403081.4819836,87992801.6768004,92874093.7366832,83468346.1380384,87059095.7940536,84164631.729322,69570795.8003218,75598358.3979514,77643015.2721022,66200324.4591531,69926226.6434954,66095453.1330122,64464627.9541492,67389963.0455351,59028296.4192512,61987093.200766,46258998.1744533,60433484.1318818
"sp|P42223|SBE2_YEAST",NA,67067721.1345331,40322876.9592596,43045906.9221057,39538251.102077,42933380.0380838,52194297.4835306,55231974.091565,54121792.1431248,53237270.6010447,53479884.0201101,55960220.0400716,77215458.4155006,74046299.9411479,74239657.98016,74855228.4561213,68349229.4674754,71062090.0426466
"sp|P42285|MTREX_HUMAN",21846141.1880877,12823998.0683311,13275923.1466501,10824218.4623873,12886879.0400692,12981870.1566341,12727912.4595092,4173493.73636254,8229077.69282032,8437040.49083128,9602088.26731263,8287650.90096953,24175103.8055321,NA,NA,NA,11083469.9651145,NA
"sp|P42330|AK1C3_HUMAN",14555002.9861755,11352424.9415646,11310390.2959723,15925977.2976059,17819264.7210184,19686481.7748576,40447130.8456586,9376346.51740347,13190472.8036403,22045328.116405,19339119.9957134,13237500.0257351,83758547.2635166,NA,NA,80557652.6687558,7270885.54317949,7974351.16534018
"sp|P42566|EPS15_HUMAN",148841306.746128,300951531.754453,322612965.29096,327202580.614852,311127550.801427,320281689.832759,290816357.919044,299127483.152597,305504635.419178,294933817.995194,299953993.470973,293533040.144521,210370813.562615,178094374.656539,170556740.551632,166088037.670198,171316837.792867,188494810.556411
"sp|P42568|AF9_HUMAN",152230118.483882,90109276.3216093,79019986.0938487,123538274.776682,71788227.5937161,131785073.394484,61988046.2307018,64465714.766671,59245641.2854428,62543715.1081801,71840619.4821575,71936490.7450935,48579760.1911818,38911423.9208286,48837455.4357821,46263422.0451857,39984720.2569619,58381086.819382
