Raw.file	Condition	Experiment	TechReplicate	IsotopeLabelType	BioReplicate
20130510_EXQ1_IgPa_QC_UPS1_01	UPS1	UPS1_01	1	L	1
20130510_EXQ1_IgPa_QC_UPS1_02	UPS1	UPS1_02	2	L	1
20130510_EXQ1_IgPa_QC_UPS1_03	UPS1	UPS1_03	3	L	1
20130510_EXQ1_IgPa_QC_UPS1_04	UPS1	UPS1_04	4	L	1
20130510_EXQ1_IgPa_QC_UPS2_01	UPS2	UPS2_01	1	L	2
20130510_EXQ1_IgPa_QC_UPS2_02	UPS2	UPS2_02	2	L	2
20130510_EXQ1_IgPa_QC_UPS2_03	UPS2	UPS2_03	3	L	2
20130510_EXQ1_IgPa_QC_UPS2_04	UPS2	UPS2_04	4	L	2
