"","sumIntensity_1","sumIntensity_2","sumIntensity_3","sumIntensity_4","sumIntensity_5","sumIntensity_6","sumIntensity_7","sumIntensity_8","sumIntensity_9","sumIntensity_10","sumIntensity_11","sumIntensity_12","sumIntensity_13","sumIntensity_14","sumIntensity_15","sumIntensity_16","sumIntensity_17","sumIntensity_18"
"sp|Q9BWN1|PRR14_HUMAN",34560350,25106610,43312930,24450750,41737660,39982515,34480185.5,13106700,30703620,28437695,36525270,32304060,9363315,28697550,22807550,21336330,21128700,23619430
"sp|Q9BWT3|PAPOG_HUMAN",NA,22880190,22813719.5,18421022.5,19509381.5,17087620.5,17001459.9166667,17668184.4166667,15550234.4166667,14959896.5,17127084.4166667,16504114.4166667,9462234.99999999,6509525,8263940.5,4755895,7531232,6465020
"sp|Q9BWU0|NADAP_HUMAN",265060928.054041,260794861.521453,257134255.028041,250958830.05548,243380412.183079,244642288.863306,254445860.560736,255244656.240598,268294541.666667,252941860.700318,265325135.170594,250418696.888087,256418115.747244,266970524.249407,268130217.41158,267807319.057056,265409212.329872,266668042.395272
"sp|Q9BX63|FANCJ_HUMAN",118950455,124028744.063976,120679011.5,115084979.635753,126283972.636497,114243393.305145,110936167.506644,109556778.484821,113818765,100278795.75,102984008.387018,113384474.073113,82226330.5625651,74732152.4949363,76594718.900425,80618343.0814575,84360410.6707557,92700032.5189217
"sp|Q9BXB4|OSB11_HUMAN",56232865,54288705,50588540,50615630,49509955,50145390,50973900.5,47399980,50084800,54181030,51858310,50978490,37641720,41181930,35225895,35928975,36500760,36044360
"sp|Q9BXB5|OSB10_HUMAN",18600531,12263274,10984402,8725973,7287645,6784462,5529863.5,4893923,3774898,4266898,4620584,4663122,NA,-6506860,-7396316,-8726066,-10185192,NA
"sp|Q9BXF6|RFIP5_HUMAN",136523165.334734,119132190,132327125,107190325,102185915,136459175,127125050.5,129804840,130060250,128537895,132492735,121478165,126660030,125789605,119312465,117029655,118699645,131863005
"sp|Q9BXJ9|NAA15_HUMAN",103686326.884561,88614423.1885609,105388520.883687,104382903.134354,85009947,87829748.6666667,99037547.5,99711912.1474804,100487167.757594,96946383.6666667,95373814.3333334,93789727.6666667,72505818.8275968,73217835.8310518,62682015.3275968,62308103.8275968,72067708.8275968,70711896.6666667
"sp|Q9BXK5|B2L13_HUMAN",38562225.2234343,37753480,34917963.3333334,41374311.8415828,37941270,35838345,37307068.4006878,41537150,36492740,39027041.6666667,42378476.6666667,41399946.6666667,27571737.6239057,32344750,38412300,27504090,30969682.956204,32421906.7535884
"sp|Q9BXP5|SRRT_HUMAN",145924103,219198775,256048475,275079876,295956340,265163375,244015500.5,236919699.733363,252836155,231150504.733363,231457719.733363,229575219.733363,198095604.733363,215833645,-157699880.266637,212316029.733363,-177372710.266637,226407379.733363
"sp|Q9BXS5|AP1M1_HUMAN",30014350,27193940,109147750,78196270,75081130,82844015,56154895.5,61986880,77528360,75497615,51221200,79773100,62467065,72234620,58960190,60921000,51949940,56454170
"sp|Q9BXS6|NUSAP_HUMAN",50835158.5105174,47009232,44176138.4840781,41761775.6609602,40737485.7477771,40332903,42553173.5,41899822,39944658.623324,37830980.6232101,44187588.350758,42446015.8407237,27244352.0145845,26015120.0413984,24549940.7194756,23232135.9544638,22818528.7017418,28804063.3850497
"sp|Q9BXW9|FACD2_HUMAN",254357970.067156,259774764.333333,254416938.666666,252746904,243255938.569593,251767577.333333,234613169.648046,245612032.666667,243566019.335758,250867869.666667,255598879.648046,235364047.648046,215337064.148046,229741489.148046,227818403.051846,230674277.757904,244709270.997969,239328994.648046
"sp|Q9BXY0|MAK16_HUMAN",254626752.00599,218186122.00599,215239242.50599,260318585.00599,209169641.565283,184798709.949548,238733522.677025,225218711.333334,212031513.333333,222138784.276651,209088012.046695,225506959.666667,274507188.974643,273737240,273733058,269216248,279132245.475284,278727574.666667
"sp|Q9BY77|PDIP3_HUMAN",118350858,137305406,123554670,124275503,117460730,129035542,120446624.5,123592392,118885840,117921273,113269350,113810060,72753763,83547590,68906890,80091760,74642087,103394800
"sp|Q9BY89|K1671_HUMAN",45140975.6482867,44042809.2637505,42477325.0827858,39866380.0495265,38525322.7248956,40590503.6129622,36801108.0600747,34596195.9780865,34971103.1425845,37968663.3661069,38331210.4550608,36121547.9724749,24749272.7468523,24641429.999778,24327079.8722955,23242526.9332157,14295728.6718972,17736470.232654
"sp|Q9BYG3|MK67I_HUMAN",138088692.136165,130387035.365108,134489997.893555,132374486.395739,132934628.582666,130749910.520703,129573612.706717,125685638.61706,130695896.851925,130893064.896397,131246027.598349,129540540,119850501.039475,120715058.723857,120531502.95046,120338516.211084,121179560.915343,121795986.318037
"sp|Q9BYW2|SETD2_HUMAN",79675158.3544479,85793378.1147757,85650119.7916496,84787367.1029096,83302214.1841153,82656424.2370806,84129669.7820931,83607013.7720338,79765584.5876038,82244955.8388913,82628222.4067602,81197037.4166428,69018182.1839327,67594871.3132486,70084371.0729046,67579227.9442589,63736696.8381369,67642372.8779233
"sp|Q9BZ29|DOCK9_HUMAN",138928740,165032270,177526450,175813570,170600680,170287075,152584455.5,155935450,144786540,152367395,163953930,161741760,138385745,141691220,142539190,133309510,140434060,156085330
"sp|Q9BZ71|PITM3_HUMAN",25203599,19833646,23918810,16371180,15812150,16742795,12709642.5,14144950,13045790,12136905,11838020,14475130,2977425,2183400,8307750,-5769292,NA,-5891505
"sp|Q9BZ95|NSD3_HUMAN",33388870,30564735,28509875,26008320,26278150,25853365,22414950.5,21491219,21429116.5,24056280,23756936,22620444,9388320,6974709.5,-163388.463811861,-16368.4638118614,-850602.999999996,-3565970.5
