experiment,measure,sample,condition,replicate
BAP1,Intensity,BAP1,BAP,1
BAP2,Intensity,BAP2,BAP,2
BAP3,Intensity,BAP3,BAP,3
BAP4,Intensity,BAP4,BAP,4
BAP5,Intensity,BAP5,BAP,5
BAP6,Intensity,BAP6,BAP,6
DMSO1,Intensity,DMSO1,DMSO,1
DMSO2,Intensity,DMSO2,DMSO,2
DMSO3,Intensity,DMSO3,DMSO,3
DMSO4,Intensity,DMSO4,DMSO,4
DMSO5,Intensity,DMSO5,DMSO,5
DMSO6,Intensity,DMSO6,DMSO,6
