Name	Fraction	Experiment
20191219_HepG2_sp3_LFQ_BaP_BP1		BAP1
20191219_HepG2_sp3_LFQ_BaP_BP2		BAP2
20191219_HepG2_sp3_LFQ_BaP_BP3		BAP3
20191219_HepG2_sp3_LFQ_BaP_BP4		BAP4
20191219_HepG2_sp3_LFQ_BaP_BP5		BAP5
20191219_HepG2_sp3_LFQ_BaP_BP6		BAP6
20191219_HepG2_sp3_LFQ_DMSO_BP1		DMSO1
20191219_HepG2_sp3_LFQ_DMSO_BP2		DMSO2
20191219_HepG2_sp3_LFQ_DMSO_BP3		DMSO3
20191219_HepG2_sp3_LFQ_DMSO_BP4		DMSO4
20191219_HepG2_sp3_LFQ_DMSO_BP5		DMSO5
20191219_HepG2_sp3_LFQ_DMSO_BP6		DMSO6
