,Protein,Label,log2FC,SE,Tvalue,DF,pvalue,adj.pvalue,issue,MissingPercentage,ImputationPercentage
1,sp|A0JNW5|UH1BL_HUMAN,SP=Yeast;CT=Mixture;QY=10-SP=Yeast;CT=Mixture;QY=1,-0.708685228,0.190920608,-3.711936797,15,0.00208743,0.00301624,NA,0.395833333,0.395833333
4,sp|A0MZ66|SHOT1_HUMAN,SP=Yeast;CT=Mixture;QY=10-SP=Yeast;CT=Mixture;QY=1,-0.659590402,0.045234388,-14.58161445,15,2.89E-10,1.87E-09,NA,0.145833333,0.145833333
7,sp|A1L390|PKHG3_HUMAN,SP=Yeast;CT=Mixture;QY=10-SP=Yeast;CT=Mixture;QY=1,-1.7769527,0.208084578,-8.539569418,14,6.35E-07,1.65E-06,NA,0.444444444,0.361111111
10,sp|A6NHT5|HMX3_HUMAN,SP=Yeast;CT=Mixture;QY=10-SP=Yeast;CT=Mixture;QY=1,0.142745968,0.303241394,0.47073378,9,0.649030688,0.684677383,NA,0.75,0.25
13,sp|A7KAX9|RHG32_HUMAN,SP=Yeast;CT=Mixture;QY=10-SP=Yeast;CT=Mixture;QY=1,-0.689950428,0.117510356,-5.871401044,15,3.07E-05,5.75E-05,NA,0.375,0.375
16,sp|O00193|SMAP_HUMAN,SP=Yeast;CT=Mixture;QY=10-SP=Yeast;CT=Mixture;QY=1,0.186232059,0.329877394,0.564549321,15,0.580725193,0.617584186,NA,0.322916667,0.322916667
19,sp|O00203|AP3B1_HUMAN,SP=Yeast;CT=Mixture;QY=10-SP=Yeast;CT=Mixture;QY=1,-0.555281699,0.042165759,-13.16901956,15,1.20E-09,6.35E-09,NA,0.145833333,0.145833333
22,sp|O00232|PSD12_HUMAN,SP=Yeast;CT=Mixture;QY=10-SP=Yeast;CT=Mixture;QY=1,-1.034627664,0.70492838,-1.467706074,9,0.176241665,0.203058246,NA,0.638888889,0.305555556
25,sp|O00264|PGRC1_HUMAN,SP=Yeast;CT=Mixture;QY=10-SP=Yeast;CT=Mixture;QY=1,-0.279179283,0.117962522,-2.366677802,15,0.031828371,0.04000773,NA,0.066666667,0.066666667
28,sp|O00299|CLIC1_HUMAN,SP=Yeast;CT=Mixture;QY=10-SP=Yeast;CT=Mixture;QY=1,-0.393195533,0.141746826,-2.773928311,15,0.014186131,0.01841975,NA,0.4,0.4
31,sp|O00410|IPO5_HUMAN,SP=Yeast;CT=Mixture;QY=10-SP=Yeast;CT=Mixture;QY=1,-1.083283542,0.280076943,-3.867806933,15,0.001517726,0.00221335,NA,0.5,0.5
34,sp|O00429|DNM1L_HUMAN,SP=Yeast;CT=Mixture;QY=10-SP=Yeast;CT=Mixture;QY=1,-0.801770884,0.100969255,-7.940742812,15,9.44E-07,2.37E-06,NA,0.305555556,0.305555556
37,sp|O00443|P3C2A_HUMAN,SP=Yeast;CT=Mixture;QY=10-SP=Yeast;CT=Mixture;QY=1,-0.462188092,0.093137367,-4.962434602,15,0.000170342,0.000284505,NA,0.222222222,0.222222222
40,sp|O00499|BIN1_HUMAN,SP=Yeast;CT=Mixture;QY=10-SP=Yeast;CT=Mixture;QY=1,-0.487980208,0.051436816,-9.486983219,15,9.95E-08,3.13E-07,NA,0.302083333,0.302083333
43,sp|O00505|IMA4_HUMAN,SP=Yeast;CT=Mixture;QY=10-SP=Yeast;CT=Mixture;QY=1,0.882536183,0.308773514,2.858199113,15,0.011966311,0.015640614,NA,0.345238095,0.345238095
46,sp|O00512|BCL9_HUMAN,SP=Yeast;CT=Mixture;QY=10-SP=Yeast;CT=Mixture;QY=1,-0.957099918,0.154387593,-6.199331828,15,1.70E-05,3.31E-05,NA,0.208333333,0.208333333
49,sp|O00566|MPP10_HUMAN,SP=Yeast;CT=Mixture;QY=10-SP=Yeast;CT=Mixture;QY=1,0.883832555,0.267193699,3.307834569,13,0.005661736,0.007740654,NA,0.489583333,0.322916667
52,sp|O00567|NOP56_HUMAN,SP=Yeast;CT=Mixture;QY=10-SP=Yeast;CT=Mixture;QY=1,0.802355286,0.470895255,1.703893333,15,0.109022181,0.128141742,NA,0.409722222,0.409722222
55,sp|O00571|DDX3X_HUMAN,SP=Yeast;CT=Mixture;QY=10-SP=Yeast;CT=Mixture;QY=1,-1.582199213,0.191632397,-8.256428653,15,5.83E-07,1.53E-06,NA,0.333333333,0.333333333
58,sp|O00592|PODXL_HUMAN,SP=Yeast;CT=Mixture;QY=10-SP=Yeast;CT=Mixture;QY=1,-2.902900806,0.687754199,-4.220840545,15,0.000741057,0.001122274,NA,0.569444444,0.569444444
61,sp|O14497|ARI1A_HUMAN,SP=Yeast;CT=Mixture;QY=10-SP=Yeast;CT=Mixture;QY=1,-0.567498997,0.131043199,-4.330625347,15,0.000594081,0.000912856,NA,0.28125,0.28125
64,sp|O14578|CTRO_HUMAN,SP=Yeast;CT=Mixture;QY=10-SP=Yeast;CT=Mixture;QY=1,-0.553859086,0.085101774,-6.508196726,15,9.89E-06,1.99E-05,NA,0.216666667,0.216666667
67,sp|O14617|AP3D1_HUMAN,SP=Yeast;CT=Mixture;QY=10-SP=Yeast;CT=Mixture;QY=1,-0.252016115,0.320159922,-0.787156972,14,0.444312259,0.483231909,NA,0.604166667,0.604166667
70,sp|O14646|CHD1_HUMAN,SP=Yeast;CT=Mixture;QY=10-SP=Yeast;CT=Mixture;QY=1,-0.2244783,0.156146734,-1.437611243,15,0.171078211,0.197253427,NA,0.5,0.5
73,sp|O14647|CHD2_HUMAN,SP=Yeast;CT=Mixture;QY=10-SP=Yeast;CT=Mixture;QY=1,-0.177954061,0.111594675,-1.594646531,15,0.131640578,0.153466995,NA,0.416666667,0.416666667
76,sp|O14686|KMT2D_HUMAN,SP=Yeast;CT=Mixture;QY=10-SP=Yeast;CT=Mixture;QY=1,-0.610993407,0.041139062,-14.85190404,15,2.23E-10,1.52E-09,NA,0.220588235,0.220588235
79,sp|O14737|PDCD5_HUMAN,SP=Yeast;CT=Mixture;QY=10-SP=Yeast;CT=Mixture;QY=1,0.406201475,0.815068015,0.498365127,14,0.625964479,0.662118237,NA,0.416666667,0.333333333
82,sp|O14757|CHK1_HUMAN,SP=Yeast;CT=Mixture;QY=10-SP=Yeast;CT=Mixture;QY=1,-1.233505886,0.145180903,-8.496337082,13,1.15E-06,2.84E-06,NA,0.583333333,0.416666667
85,sp|O14874|BCKD_HUMAN,SP=Yeast;CT=Mixture;QY=10-SP=Yeast;CT=Mixture;QY=1,-0.681654995,0.312535071,-2.181051207,10,0.054149179,0.06606116,NA,0.583333333,0.166666667
88,sp|O14974|MYPT1_HUMAN,SP=Yeast;CT=Mixture;QY=10-SP=Yeast;CT=Mixture;QY=1,-1.072306922,0.161126749,-6.655052165,15,7.67E-06,1.60E-05,NA,0.314102564,0.314102564
91,sp|O15014|ZN609_HUMAN,SP=Yeast;CT=Mixture;QY=10-SP=Yeast;CT=Mixture;QY=1,-0.532871027,0.041767948,-12.75789349,15,1.86E-09,9.26E-09,NA,0.2625,0.2625
94,sp|O15027|SC16A_HUMAN,SP=Yeast;CT=Mixture;QY=10-SP=Yeast;CT=Mixture;QY=1,-0.419010932,0.146861669,-2.853099346,15,0.01209044,0.015776671,NA,0.270833333,0.270833333
97,sp|O15042|SR140_HUMAN,SP=Yeast;CT=Mixture;QY=10-SP=Yeast;CT=Mixture;QY=1,-0.023999982,0.127363741,-0.188436538,15,0.85306015,0.870187653,NA,0.125,0.125
100,sp|O15075|DCLK1_HUMAN,SP=Yeast;CT=Mixture;QY=10-SP=Yeast;CT=Mixture;QY=1,-0.659713796,0.057208484,-11.53174758,15,7.43E-09,3.13E-08,NA,0.3,0.3
103,sp|O15144|ARPC2_HUMAN,SP=Yeast;CT=Mixture;QY=10-SP=Yeast;CT=Mixture;QY=1,0.05221253,0.280410445,0.186200375,15,0.854782387,0.87137737,NA,0.375,0.375
