"","BaP_BP1","BaP_BP2","BaP_BP3","BaP_BP4","BaP_BP5","BaP_BP6","DMSO_BP1","DMSO_BP2","DMSO_BP3","DMSO_BP4","DMSO_BP5","DMSO_BP6"
"sp|Q8N465|D2HDH_HUMAN",NA,NA,9939580.3794383,13598353.1269205,26439971.3455037,6320549.39131711,19332224.0672816,NA,17224422.3682602,17165009.9711037,NA,19493937.6736659
"sp|Q8N4F0|BPIB2_HUMAN",9395259.01724578,9013220.28419126,12188093.7267825,9685964.03214092,9862949.1871344,10747998.9342882,10317249.1123108,11271932.677956,8969309.98778347,12524145.4340546,9723560.29163237,10147981.0806025
"sp|Q8N4J0|CARME_HUMAN",NA,NA,5101873.22235612,NA,NA,NA,8800794.7120499,7728664.69448709,7046900.90566555,NA,NA,NA
"sp|Q8N4P3|MESH1_HUMAN",23640536.7480419,29112630.9614435,34891740.4987468,29778090.4665863,22643007.2465394,23981210.0406511,25789311.3129727,32014660.6529237,26555524.7448332,23754657.0555907,23967343.2003089,34430452.4005027
"sp|Q8N4S0|CCD82_HUMAN",4729255.16342747,2113474.44587923,35273323.8727192,4985167.41174837,2930067.87960309,7789687.26886788,6038153.5653815,NA,954341.621547111,9597577.12717471,948997.320825046,2356474.21409615
"sp|Q8N4T8|CBR4_HUMAN",33666796.9406073,25223070.4711991,33832734.0754781,36842759.071777,27014715.9348946,49397517.4937863,34800351.3185972,27636763.1662439,30075154.5071098,30580025.5425256,31110634.3543163,32360634.572568
"sp|Q8N543|OGFD1_HUMAN",42018580.246628,96428258.1704341,37146200.2037928,40469836.6491599,40980815.7071663,42980293.219331,100508741.994526,91336358.2024554,28744757.4722289,28525091.6208294,31353482.0613149,33431503.6773097
"sp|Q8N567|ZCHC9_HUMAN",NA,NA,18460621.7085758,NA,NA,4665562.11449443,NA,15371941.5651588,NA,NA,NA,30467703.3271208
"sp|Q8N573|OXR1_HUMAN",15278315.4159369,8609104.53790855,10205969.9734899,9331517.71808889,8761955.12947265,7233230.47563798,15769305.319062,15202856.8763017,11198278.9174669,14571097.2680395,15356811.3521622,23715955.7737857
"sp|Q8N5A5|ZGPAT_HUMAN",29363817.6053188,25426305.9848572,23837271.7177138,23317905.3571354,25839712.0889215,23959733.3570512,16435893.9714747,24188124.726576,25483108.6962323,32381531.1771665,23165427.8621523,27027111.1297888
