"","BaP_BP1","BaP_BP2","BaP_BP3","BaP_BP4","BaP_BP5","BaP_BP6","DMSO_BP1","DMSO_BP2","DMSO_BP3","DMSO_BP4","DMSO_BP5","DMSO_BP6"
"sp|P07919|QCR6_HUMAN",10508800,75487435,38615112.5,59476370,79503775,52992580,NA,32722880,67574344,70313967,71300620,82196515
"sp|P07942|LAMB1_HUMAN",46712886.6666667,95961450,54249570,37957146.6666667,90219353.3333333,78115390,32995760,33930180,58758150,47244320,75643610,25295070
"sp|P07947|YES_HUMAN",3613237,8396251,4451604.6,1473989,5219351,1270759,1501856,NA,7323291.5,6193209.5,1208112,6279160.33333333
"sp|P07954|FUMH_HUMAN",232632110,305821766.666667,203914366.666667,219699760,287657690,230027133.333333,246546390,125516117,189504636.666667,175293593.333333,232202463.333333,257702300
"sp|P07992|ERCC1_HUMAN",2757759,4085968,NA,NA,7261964.5,1057902,2713498.5,NA,1336435,1124247,1100006,5959290
"sp|P07996|TSP1_HUMAN",17128346.6666667,9793927.5,8330687.33333333,8240291.66666667,14997020,6886200,13179000,12979931.3333333,13935392.3333333,28846417.3333333,9523764.5,7096624.5
"sp|P08133|ANXA6_HUMAN",292248676.666667,285793596.666667,251848013.333333,231311566.666667,283509980,235264366.666667,364910993.333333,217413160,266001695.333333,243788066.666667,325941803.333333,314721706.666667
"sp|P08183|MDR1_HUMAN",38888223.3333333,69519370,56974686.6666667,51506066.6666667,69623486.6666667,57633940,51389683.3333333,41204874.3333333,61280810,59431896.6666667,41964930,59670970
"sp|P08195|4F2_HUMAN",554275766.666667,642873570.333333,476442933.333333,180672931.333333,289859586.666667,509792117,118392276.666667,90280323.3333333,203826440,145136466.666667,164594663.333333,166741770
"sp|P08236|BGLR_HUMAN",25654100,37037630,21656590,27338790,39473260,28187630,19075490,15254480,13111843.5,15380470,42621133.3333333,34264920
"sp|P08238|HS90B_HUMAN",4677289976.66667,5228529383.33333,3516100193.33333,4240697696.66667,5102902683.33333,4627094393.33333,5634900260,3012105633.33333,4049972750,3772262896.66667,4726608983.33333,3828394010
"sp|P08243|ASNS_HUMAN",43971406.6666667,59430850.6666667,33359726.3333333,50011225,58636053.3333333,48623150.3333333,56514411,20421661.6666667,28874965.3333333,23179030.3333333,40059807.6666667,39864813.3333333
