"","protein","logFC","AveExpr","t","P.Value","adj.P.Val","B","significant","mean_10","mean_1","ngood_10","ngood_1"
"1","sp|A0A2Z4LIS9|FXO3B_HUMAN;sp|P0CG31|Z286B_HUMAN",NA,20.798264538071,NA,NA,NA,NA,NA,NA,20.798264538071,0,1
"2","sp|A0AVK6|E2F8_HUMAN",NA,21.1524013565136,NA,NA,NA,NA,NA,NA,21.1524013565136,0,4
"3","sp|A0FGR8|ESYT2_HUMAN",-1.77456079017379,24.4116866511789,-3.5310128398242,0.00471736357543217,0.0101090606090653,-3.14235218139524,TRUE,23.4437444019932,25.218305192167,5,6
"4","sp|A0JLT2|MED19_HUMAN",NA,21.5614821416228,NA,NA,NA,NA,NA,NA,21.5614821416228,0,3
"5","sp|A0JNW5|UH1BL_HUMAN",-0.923027082760502,23.0832748590839,-2.02948201333593,0.0769943501604678,0.112451404976855,-5.51511203090795,FALSE,22.3910045470135,23.314031629774,2,6
"6","sp|A0MZ66|SHOT1_HUMAN",-0.896413495038424,25.1803920227096,-3.84620856404403,0.00233194952624301,0.00547188565245297,-2.51653784566386,TRUE,24.7321852751904,25.6285987702288,6,6
"7","sp|A1A4S6|RHG10_HUMAN",-0.537618869346965,22.7725395099866,-4.15632753204376,0.00133543544968226,0.00333907923237968,-1.94373718472863,TRUE,22.5037300753131,23.0413489446601,6,6
"8","sp|A1KXE4|F168B_HUMAN",-0.26143657705464,24.707133132279,-1.06825366377327,0.306454347788918,0.371522673860238,-7.13113379992838,FALSE,24.5764148437517,24.8378514208063,6,6
"9","sp|A1L390|PKHG3_HUMAN",-0.545568741040995,24.2365057009562,-3.56852729779047,0.00387102792852062,0.00852076846103213,-3.03378206764988,TRUE,23.9637213304357,24.5092900714767,6,6
"10","sp|A1XBS5|CBAR1_HUMAN",-1.04402788139283,22.6476081478882,-5.25485828654663,0.000527559395504854,0.00152530554197368,-0.599352895534184,TRUE,22.0675926582255,23.1116205396183,4,5
"11","sp|A2A2Y4|FRMD3_HUMAN",-2.12859179064373,23.145411728262,-3.5037784312165,0.00494859887460388,0.0105571327385305,-3.19128082567015,TRUE,21.9843616606381,24.1129534512819,5,6
"12","sp|A2A3K4|PTPC1_HUMAN",NA,21.5809742295838,NA,NA,NA,NA,NA,NA,21.5809742295838,0,5
"13","sp|A2CJ06|DYTN_HUMAN",NA,24.4943925424219,NA,NA,NA,NA,NA,24.4943925424219,NA,5,0
"14","sp|A2RU67|F234B_HUMAN",-0.967940058315623,25.1070411308756,-2.15996604059145,0.0561579651550625,0.0858515523012927,-5.52969514965087,FALSE,24.6230711017178,25.5910111600334,5,5
"15","sp|A3KN83|SBNO1_HUMAN",-0.0631708654861331,24.3468243252703,-0.254478011972887,0.803440821962825,0.836374768167481,-7.68552936837221,FALSE,24.3152388925272,24.3784097580133,6,6
"16","sp|A4D1P6|WDR91_HUMAN",-0.570065876745423,21.6106055668037,-1.01258009463366,0.386217283577791,0.453362337362961,-6.38929530927615,FALSE,21.4205836078886,21.990649484634,2,1
"17","sp|A4QPH2|PI4P2_HUMAN;sp|P42356|PI4KA_HUMAN",0.67983379948967,21.1264391899821,1.6228552231724,0.247143435275868,0.310457405036463,-5.59150009457376,FALSE,21.466356089727,20.7865222902373,1,1
"18","sp|A6H8Y1|BDP1_HUMAN",0.321023508095743,26.0736468549472,0.783698721880881,0.448430775709666,0.515195789918971,-7.3966176801807,FALSE,26.2341586089951,25.9131351008993,6,6
"19","sp|A6ND36|FA83G_HUMAN",-0.60311264355907,23.5759286507972,-1.23825185559616,0.243950444579047,0.307126660341287,-6.82654186740469,FALSE,23.2140610646617,23.8171737082208,4,6
"20","sp|A6NDB9|PALM3_HUMAN",-0.624644255544993,22.866128178141,-2.63564259101161,0.0299695926955445,0.0490791741785071,-4.68623566234825,TRUE,22.4757255184254,23.1003697739704,3,5
"21","sp|A6NFI3|ZN316_HUMAN",1.11372918073136,24.1905548891484,2.33053320953934,0.0398652020330826,0.0631864380617513,-5.27173221446042,FALSE,24.6967954258445,23.5830662451131,6,5
"22","sp|A6NHT5|HMX3_HUMAN",1.18782812749963,23.7230787254503,2.06017501072804,0.0734145791658094,0.107638868117729,-5.46903609606849,FALSE,24.0200357573252,22.8322076298256,6,2
"23","sp|A6NI28|RHG42_HUMAN",NA,21.8979903391219,NA,NA,NA,NA,NA,NA,21.8979903391219,0,3
