"","protein","logFC","AveExpr","t","P.Value","adj.P.Val","B","significant","mean_4","mean_1","ngood_4","ngood_1"
"761","sp|P12270|TPR_HUMAN",-0.290642329732502,27.095774766698,-1.66304608771291,0.122241227697239,0.23015244399266,-6.20900171340777,FALSE,26.9504536018318,27.2410959315643,6,6
"762","sp|P12277|KCRB_HUMAN",NA,22.0619432992373,NA,NA,NA,NA,NA,NA,22.0619432992373,0,1
"763","sp|P12383|PDR1_YEAST",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"764","sp|P12385|ERF1_YEAST",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"765","sp|P12429|ANXA3_HUMAN",-0.1190148768742,21.6410192780138,-0.50106299841247,0.63175739828511,0.73549064899628,-7.13387344564857,FALSE,21.5730107769429,21.6920256538171,3,4
"766","sp|P12611|WHI2_YEAST",NA,21.7523341706118,NA,NA,NA,NA,NA,21.7523341706118,NA,4,0
"767","sp|P12683|HMDH1_YEAST",NA,21.1322416675162,NA,NA,NA,NA,NA,21.1322416675162,NA,1,0
"768","sp|P12709|G6PI_YEAST",3.33324220980515,22.7906516572617,8.98031780535147,8.88021622831282e-06,9.45346361596184e-05,3.9458445381732,TRUE,23.9017323938634,20.5684901840582,6,3
"769","sp|P12814|ACTN1_HUMAN",-0.340822448731452,24.6348939304237,-1.20675452879217,0.250832051500772,0.385972158039263,-6.81060430190569,FALSE,24.464482706058,24.8053051547894,6,6
"770","sp|P12945|NAT1_YEAST",NA,20.9401570408755,NA,NA,NA,NA,NA,20.9401570408755,NA,1,0
"771","sp|P12956|XRCC6_HUMAN",-0.197437034127209,27.2902796691559,-1.87557831815507,0.0853039951547732,0.176336294404999,-5.88728705194551,FALSE,27.1915611520923,27.3889981862195,6,6
"772","sp|P12962|CAF20_YEAST",4.28024177919921,26.9629320282279,7.83049789124698,1.444060557068e-05,0.000143596625668622,3.23616797355693,TRUE,28.6750287399076,24.3947869607084,6,4
"773","sp|P13010|XRCC5_HUMAN",-3.10374882139322,27.4016979383761,-6.77713683047847,1.98998575253135e-05,0.000189872450048727,2.60308062091803,TRUE,25.8498235276795,28.9535723490727,6,6
"774","sp|P13051|UNG_HUMAN",-0.282473396435829,26.0132380961018,-0.827840460415459,0.423956997025903,0.560923046924673,-7.19296614900583,FALSE,25.8720013978839,26.1544747943197,6,6
"775","sp|P13056|NR2C1_HUMAN",-1.28488259425747,21.5285028961893,-2.94346959849218,0.0217074326148774,0.0621971774423462,-3.99205389001331,FALSE,21.1613935835444,22.4462761778018,5,2
"776","sp|P13073|COX41_HUMAN",-0.352141961078587,20.5625652918321,-0.83054107689099,0.494683556656161,0.625221655827077,-6.2263430491938,FALSE,20.3864943112928,20.7386362723714,1,1
"777","sp|P13090|ATR1_YEAST",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"778","sp|P13185|KIN1_YEAST",NA,23.7168092119854,NA,NA,NA,NA,NA,23.7168092119854,NA,5,0
"779","sp|P13186|KIN2_YEAST",1.30985936253061,22.3206022875546,5.50893199054611,0.00091056713096082,0.00492479499526979,-0.40258867600959,TRUE,22.5077250536304,21.1978656910998,6,1
"780","sp|P13188|SYQ_YEAST",1.52456050764418,25.2038601677611,3.59573770170971,0.0708828818321825,0.155027451443506,-3.80669410976326,FALSE,25.9661404215832,24.4415799139391,1,1
"781","sp|P13259|PCY1_YEAST",2.65477559419579,25.2388808369455,16.5545643619713,1.293919350003e-09,7.70925496598563e-08,12.6412275337473,TRUE,26.5662686340434,23.9114930398476,6,6
"782","sp|P13382|DPOLA_YEAST",3.252012291902,23.9518541920767,26.8137164820465,4.65566019185821e-12,6.11205286857654e-09,18.1415003697027,TRUE,25.5778603380277,22.3258480461257,6,6
"783","sp|P13517|CAPZB_YEAST",NA,22.3646752152929,NA,NA,NA,NA,NA,22.3646752152929,NA,5,0
"784","sp|P13574|STE12_YEAST",3.07525978554958,23.6943305875281,8.82741690719981,1.02127023496294e-05,0.000107175347953213,3.79791862307264,TRUE,24.7194171827113,21.6441573971617,6,3
"785","sp|P13639|EF2_HUMAN",-0.882001211059109,27.644204062452,-1.99298601816815,0.0695612762918983,0.153116273808591,-5.70050097852696,FALSE,27.2032034569224,28.0852046679815,6,6
"786","sp|P13667|PDIA4_HUMAN",0.0881038422350057,22.1475030841986,0.205571479876645,0.850402468093211,0.902178838924848,-6.77796542707558,FALSE,22.206238979022,22.1181351367869,1,2
"787","sp|P13693|TCTP_HUMAN",-0.679123245625173,22.0173672337596,-0.518626508849919,0.620071631020407,0.726348007021107,-6.78054350041334,FALSE,21.4352615946523,22.1143848402774,1,6
"788","sp|P13797|PLST_HUMAN",-1.59380388308682,23.380411026883,-2.70543399895442,0.0191510771272856,0.0566405755870241,-4.46932526573178,FALSE,22.5835090853396,24.1773129684264,6,6
"789","sp|P13798|ACPH_HUMAN",-0.690739790680609,23.3585432357581,-4.77808286588666,0.0014080444478137,0.0070524172406607,-1.31048926333326,TRUE,22.9268308665827,23.6175706572633,3,5
"790","sp|P13807|GYS1_HUMAN",0.414532429036917,24.4541280585051,2.94706247439187,0.0133129880859993,0.0424626998390974,-4.02914315846355,TRUE,24.6425518898856,24.2280194608486,6,5
"791","sp|P13856|RSR1_YEAST",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"792","sp|P13861|KAP2_HUMAN",-0.922588452856621,21.4801871442875,-1.82427885659705,0.142684670778121,0.25824457317706,-5.37310213120109,FALSE,20.7882458046451,21.7108342575017,1,3
"793","sp|P13984|T2FB_HUMAN",-1.74914176134343,21.735572522902,-2.40043171783323,0.0534609284233002,0.125866583553646,-4.81504196825617,FALSE,21.1525252691209,22.9016670304643,4,2
"794","sp|P14120|RL30_YEAST",NA,22.0102387271394,NA,NA,NA,NA,NA,22.0102387271394,NA,3,0
"795","sp|P14126|RL3_YEAST",2.91531252058492,23.580791643558,15.4546203029262,3.17132877180396e-07,5.37546177544473e-06,7.52040090931168,TRUE,24.3096197737042,21.3943072531193,6,2
