"","protein","logFC","AveExpr","t","P.Value","adj.P.Val","B","significant","mean_4","mean_1","ngood_4","ngood_1"
"1102","sp|P26583|HMGB2_HUMAN",0.386305689393427,25.145890592442,1.35789989195118,0.199561023630281,0.386513755900497,-6.67169623455625,FALSE,25.3390434371387,24.9527377477452,6,6
"1103","sp|P26599|PTBP1_HUMAN",-0.150039093229292,22.9003028349482,-0.481649497680438,0.639527984713989,0.774584904745357,-7.42591260719894,FALSE,22.8184633295504,22.9685024227797,5,6
"1104","sp|P26637|SYLC_YEAST",2.2628563206632,22.1304623226664,1.53646208313632,0.168547315534295,0.345292123442643,-5.82419331639939,FALSE,22.4537275113325,20.1908711906693,6,1
"1105","sp|P26639|SYTC_HUMAN",-0.258671859998394,23.6866493543275,-0.509730487184133,0.619514714429362,0.76333801037427,-7.45943637037198,FALSE,23.5573134243283,23.8159852843267,6,6
"1106","sp|P26641|EF1G_HUMAN",-1.40100541361136,24.1571198675524,-1.61770043301077,0.131779033628109,0.293601779386149,-6.31962301499708,FALSE,23.4566171607467,24.8576225743581,6,6
"1107","sp|P26754|RFA2_YEAST",3.09993179058861,22.9071716991226,12.3507779447028,1.795966890844e-06,2.32782515606236e-05,5.80162571690462,TRUE,23.6821546467698,20.5822228561812,6,2
"1108","sp|P26783|RS5_YEAST",1.73610056419306,28.1561423847015,1.83646729161407,0.10378990651085,0.249284729942184,-5.67974085589463,FALSE,28.5901675257498,26.8540669615567,6,2
"1109","sp|P26784|RL16A_YEAST",1.00382173524249,23.2548186834366,7.82399630916066,4.81618981801075e-06,5.35873650232883e-05,4.05779061923421,TRUE,23.7567295510578,22.7529078158153,6,6
"1110","sp|P26785|RL16B_YEAST",1.27949472550606,24.5553996907229,5.93281237696405,6.98795987134609e-05,0.000577483753126453,1.24514633847012,TRUE,25.1951470534759,23.9156523279698,6,6
"1111","sp|P26786|RS7A_YEAST",2.62306806173368,28.3589054878693,4.90555577290537,0.00062520646459721,0.00406354522813972,-0.795384119353998,TRUE,29.4081327125628,26.7850646508291,6,4
"1112","sp|P27344|DPB3_YEAST",NA,23.6028175114167,NA,NA,NA,NA,NA,23.6028175114167,NA,5,0
