"","sumIntensity_1","sumIntensity_2","sumIntensity_3","sumIntensity_4","sumIntensity_5","sumIntensity_6","sumIntensity_7","sumIntensity_8","sumIntensity_9","sumIntensity_10","sumIntensity_11","sumIntensity_12","sumIntensity_13","sumIntensity_14","sumIntensity_15","sumIntensity_16","sumIntensity_17","sumIntensity_18"
"sp|Q13547|HDAC1_HUMAN",-191500798.682252,363895266.317749,389099271.317749,401187714.72486,404023279.857986,401391022.237648,449360002.575,461902032.497015,444565248.163682,441268332.497015,455333749.163682,456072465,416896842.503103,374883172.25,415965748.742296,431953827.5,431113417.163682,443759273.114954
"sp|Q13555|KCC2G_HUMAN",13272226.5,6133533.00000001,10563647,10459429.5,11133456,10954645.5,15379325.8229233,19621102.8229233,4923649.8229233,9888744.8229233,17304300.8229233,8707468.8229233,9991937.8229233,10222803.8229233,11483704.8229233,10808192.8229233,10183342.8229233,10315757.8229233
"sp|Q13557|KCC2D_HUMAN",43844412,52226022,55395263,52918742,52559916.5,50792563,42126483.5,40894820.5,39573611,38897718.5,37605377,46041314,52483430,60853953.1829297,27511993,42468653.1829297,30233824,34699353.1829297
"sp|Q13561|DCTN2_HUMAN",27898146.6299629,38067795,37278700,41357445.5,30963110,29583125,38614965,40672766.6299629,42308830,25761537,34351933.3700371,43822460,34986505,36362045,26251740,31952260,24137610,34333940
"sp|Q13573|SNW1_HUMAN",81626174.5,94854987,85096858.5,83945733,99082340.0000001,83945573.5,84875087,65948700.5375928,86290154.5375928,88044171,87136190.5375927,92091140.5375927,95731610.5375927,75946340.5375927,95786210.5375927,108074970.537593,95771347,121814420.537593
"sp|Q13576|IQGA2_HUMAN",11602877.8600625,9618397.13993751,9575479.5,11732475,11699869.5,11327860,10677069.5,11682363,8869945.5,11376375,11813201,9838568,10925787.8600625,9800122,10476837.8600625,10598067.8600625,12036140,NA
"sp|Q13586|STIM1_HUMAN",161851775,165856470,161049820,159315720,165873515,173011260,165038355,160576820,166230295,159725895,170694740,157633060,135173865,143149192.137713,144608550,142384392.137713,160551855,199420392.137713
"sp|Q13596|SNX1_HUMAN",25467060,30735760,31436950,32706640,32141510,29471980,31186580,32561140,30330340,32809930,31588170,32858680,29230510,28782980,22665120,27137710,28512880,29563590
"sp|Q13614|MTMR2_HUMAN",34387970,70296320,93576460,108943910,115326520,118776570,109655120,96787740,117696290,117478110,116304810,112566240,110527490,96394960,101731910,102101640,101052340,105107160
"sp|Q13619|CUL4A_HUMAN",17685705,20180600,18575530,14009860,15531610,19498990,16671736.6767394,15540650,25772900,20625500,15420165,15657935,15413070,15927575,17196125,14286330,16616330,21997273.3232606
