"","sumIntensity_1","sumIntensity_2","sumIntensity_3","sumIntensity_4","sumIntensity_5","sumIntensity_6","sumIntensity_7","sumIntensity_8","sumIntensity_9","sumIntensity_10","sumIntensity_11","sumIntensity_12","sumIntensity_13","sumIntensity_14","sumIntensity_15","sumIntensity_16","sumIntensity_17","sumIntensity_18"
"sp|Q9UKV3|ACINU_HUMAN",307257740.373084,320739636.49504,332438615.599388,333028821.793717,348193246.875822,343253886.757785,334519053.886983,337436834.23851,361183899.214206,354116870.908454,358118929.214553,351655365.064234,298123308.452085,290153875.643403,295843249.22987,301857062.162573,302964536.156234,310801522.921319
"sp|Q9UKX7|NUP50_HUMAN",31925580.7751437,29273615.5,27491395.5,24256774.25,23334334.25,25126570.3327274,18697414.0288359,21452081.9753003,18344309.9958672,20244366.9753003,19133380.6523835,20278888.641967,9377516.46431088,6493133.5,7223031.5,6877650.64997274,8144871.56556694,7466782.8909124
"sp|Q9UKY1|ZHX1_HUMAN",4870970,-2936590,-8748364.99999999,-8595115,-9625195,-7191115,-2689989.5,-7673635,-7384710,-2474510,-4708035,-3612930,-11727630,-8151795,-11308045,-11692320,-10700880,-10533690
"sp|Q9UKY7|CDV3_HUMAN",NA,-12617130,9069140,-24669760,653420,-27814375,239729905.5,-17040900,-10539140,-19502385,194614000,-15779570,-33366535,-32611570,-32392240,-30644440,-16185730,-37920910
"sp|Q9ULD2|MTUS1_HUMAN",-8613240,2152900,4259870,84740,2706440,3627075,-548854.5,-1706290,-1070610,3144425,-4444920,-7563230,-15541685,-15230040,-15479660,-20452130,-16658580,-17800890
"sp|Q9ULF5|S39AA_HUMAN",46666026.0017129,42352369.8080235,55358236.6666667,58031670.0000001,61400760,72773511.6666667,73579622.1666667,76911792.5615292,66958040,78252314.7895563,70137990.6666667,73724174.6209058,-9602604.69563552,32937985.3043645,70388120.3043645,23498086.6818752,27812779.4919806,22993351.2468145
"sp|Q9ULH0|KDIS_HUMAN",37468536.739293,38519440,9701549.99999999,7852494.99999999,5489780,7878249.99999999,67409645.5,31282140,16529200,32452925,19791255,42854655,23995490,26708630,25927780,24304910,19531585,28361853.260707
"sp|Q9ULH1|ASAP1_HUMAN",6570473.06109933,4413227.84802734,6289799.49536329,-355380.273314026,2604347.6250458,3158865.57924972,-4437149.5,-3560443.33333334,-2974366.66666667,-1995665,-582389.999999999,1972216.24366322,-12623879.4207503,1218024.60760291,-6288551.77331403,-17120109.4207503,-15354319.4971017,-15590369.4207503
"sp|Q9ULI0|ATD2B_HUMAN",21426766.6666667,31844416.6666667,30553600,22780236.6666667,25502863.3333333,24066655,36808081.4814815,35016545.9814815,37001360.9814815,37161395.9814815,43155521.9814815,34604405.9814815,6018440.18736385,3914687,-2750904.01851852,-857013.333333321,-1346097.66666667,31651320.9814815
"sp|Q9ULJ3|ZBT21_HUMAN",-23136458.9385083,4457280.06911545,21062778.4206314,27862956.8135051,31335387.9997255,26822956.1634105,42050081.7509193,29019744.5937583,20940984,22698113.620919,24049468.5349655,30440164.6362547,60469.5703984747,-1842866.63422642,-2541882.45621105,4147562,1286388,-1369072
"sp|Q9ULJ7|ANR50_HUMAN",-4510215.5,-11420466,-12208673.5,-17764835,-17666000,-20272450,-19786288,-20236600,-21643810,-23598800,-15453268.1275427,-21437085,-12854110,-21831450,-30839478.1275427,-20973255,-24867835,-19086855
"sp|Q9ULL5|PRR12_HUMAN",83723167.1212329,93264479.8096464,85379529.9593741,85842160.2399608,75081224.2244029,82529646.0260225,80771299.5,83118308,87348008,81112017,74305727.7255139,69978318,67037992.6394632,75205978.5823641,67660682,75155697.5116843,47225207.6108271,77959571.4093518
"sp|Q9ULM3|YETS2_HUMAN",37200000.5641751,28533274.2388383,37075034.6660247,34319456.6176727,30863148.844731,35295562.1422382,17747941.5674804,22547301.9827791,20765420.8973077,22289923.4520079,35836611.8473129,27283138.5994734,13814568.3878625,7841465.20291268,8515096.42972784,5617861.15364801,6523477.44177157,24650733.1769574
"sp|Q9ULT8|HECD1_HUMAN",72166556.0788432,103346126.078843,100989910,101005973,89846595,94582792.5,80288455,80842786.4999999,86979406,81645710.0000001,88012231.5,90353450,89880176,90855246.0788432,104789646.078843,101040166.078843,101093446.078843,94903785
"sp|Q9ULU4|PKCB1_HUMAN",17956819.2624598,15156375.1489095,16563225.8000001,10040902.8027628,9962717.50178779,13805380.336001,11173786.1424057,18355953.3484143,11521958.2,19718617.8077253,17569098.8788219,10703485.1210886,-1178282.6,-151342.200000002,-1756523.8,-1673223.4,-5812658.6,-629345.942969237
"sp|Q9ULW0|TPX2_HUMAN",138013308.053091,143428466.519617,145081373.954053,143990216.370652,140602167.228936,143061590.023333,129580726.928571,133215966.919392,133649234.151652,135240700.252725,132844548.586059,133439171.535933,116188932.192579,116947090.595881,120368845.379656,118320000.488098,126353763.999846,126397766.304772
"sp|Q9ULX3|NOB1_HUMAN",578552489.183632,572315342.144571,577265967.429786,577137795.931286,572028853.675391,576932613.185137,587322968.833333,584603333.333333,586414896.666667,600985435,575471916.666667,582397486.666667,575240596.020838,584157669.879133,587979071.020838,598191851.020838,610177887.020838,614854421.020838
"sp|Q9ULX6|AKP8L_HUMAN",6107654.2925111,-30908.4434699488,-701241.333333333,-3786194.66188479,-3210089.33333333,-4334313.6265259,-8598039.43994864,-5048320.32080034,-8148350.66666667,-7756689.5017625,-6723326.41124783,-6422759.13356004,-16811886.7692777,-17443574,-17827080.6666667,-19124786.3333333,-19916907.0885944,-22613659.0438008
"sp|Q9UM00|TMCO1_HUMAN",1871535.5,95979.999999993,-3250510,-17095525,-2881599.99999999,-3606585.00000001,-6239039,-1162635.00000001,-6659640.00000001,-6672855,-8386135,-2242060,-20286124,-18947203.5,-16047430,-20715065,-20682855,-18674940
"sp|Q9UM11|FZR1_HUMAN",NA,-9408410,-10535110,-12300080,-13522850,-14203425,-18868784.5,-17348550,-16660868,-22046165,-17094156,-10978971,-30017005,-29722588,-25454443,-28547680,-34602360,NA
"sp|Q9UMN6|KMT2B_HUMAN",-2205487.69282704,-18313970,-19229895,-16843095,-13202015,-9348920,-12064496.807173,-14013030,-12283175,-11093437.307173,-14336911,-14054850.5,-24592127.307173,-28902752.307173,-29559512.307173,-31015212.307173,-47866212.307173,-47487992.307173
"sp|Q9UMZ2|SYNRG_HUMAN",47772065.1118842,47815444.8393322,45197777.7946823,44863551.156467,47194888.2918271,45733003.2917469,47879621.6078749,45732702.0952417,45705140.0000736,43509077.107765,42745307.774268,44137580.6551742,28048631.9205935,31761999.4292407,27917564.9003413,28212873.9766552,31214905.5555556,28103753.4651917
"sp|Q9UN37|VPS4A_HUMAN",-10930600,-16178460,-16897390,-19599502,-21071956,-22580744.5,-19850224.5,-21539740,-21964100,-21039450,-22188555,-21413785,-27445870,-29823420,-29661460,-33100505,-33273765,-35128845
"sp|Q9UN79|SOX13_HUMAN",-7261715,-6936125,-8334925,-8132574.99999999,-9273899.99999999,-8339215,-14659509.5,-13004690,-14299780,-14383300,-12557645,-13610635,-27105610,-26640740,-24735440,-27106435,-27815685,-29215505
