ProteinName,Ibaq,IbaqLog,IbaqPpb,Condition
sp|P69905|HBA_HUMAN,41792537850701.75,98.24909462513942,29711526.31623076,frontal cortex
sp|P68871|HBB_HUMAN,23271892958844.453,97.40443782196375,16544663.129702758,frontal cortex
sp|P60709|ACTB_HUMAN,8420021966728.826,95.9377451584133,5986037.630483449,frontal cortex
sp|P01834|IGKC_HUMAN,7315357058827.6,95.73484944460293,5200699.333992015,frontal cortex
sp|P14136|GFAP_HUMAN,5504794952116.157,95.32460998721673,3913518.2617895775,frontal cortex
sp|P62805|H4_HUMAN,4708177377819.667,95.09908983540454,3347179.742046282,frontal cortex
sp|Q6FI13|H2A2A_HUMAN,4014552720239.857,94.86916042072967,2854061.8715572795,frontal cortex
sp|P02686|MBP_HUMAN,3056210322496.1157,94.47566499159377,2172748.4879996274,frontal cortex
sp|P68363|TBA1B_HUMAN,2250207468175.112,94.03397918476146,1599737.70069915,frontal cortex
sp|P68032|ACTC_HUMAN,1938666035260.661,93.81898545997899,1378253.8674918655,frontal cortex
sp|P01266|THYG_HUMAN,1665996460543.8728,93.600306496976,1184405.164793442,frontal cortex
sp|Q96QV6|H2A1A_HUMAN,1286353858839.0,93.22720872479644,914506.2371041959,frontal cortex
sp|P04406|G3P_HUMAN,1126001648722.0051,93.03513010116801,800507.203884995,frontal cortex
sp|P05976|MYL1_HUMAN,683950586228.8334,92.31588516408621,486240.2928085933,frontal cortex
sp|Q13885|TBB2A_HUMAN,660652780564.5126,92.26588529977658,469677.2075856107,frontal cortex
sp|P0DOX5|IGG1_HUMAN,654472461396.2826,92.25232555478964,465283.43958172563,frontal cortex
sp|P08670|VIME_HUMAN,625345182592.8,92.18664582539718,444576.012964528,frontal cortex
sp|P60201|MYPR_HUMAN,556811999829.0769,92.01918336940221,395853.7872290736,frontal cortex
sp|P0DJD8|PEPA3_HUMAN,504793082703.8,91.8776852073005,358872.03152352624,frontal cortex
sp|P0DOY2|IGLC2_HUMAN;sp|P0DOY3|IGLC3_HUMAN,451485646100.8571,91.7166731878477,320974.22997969046,frontal cortex
sp|P10916|MLRV_HUMAN,438357154141.2727,91.67409985987078,311640.8045786516,frontal cortex
sp|P32119|PRDX2_HUMAN,425287444795.0714,91.63043133122173,302349.16944100166,frontal cortex
sp|P01036|CYTS_HUMAN,418153308056.1111,91.60602504275842,297277.3048842134,frontal cortex
sp|P12277|KCRB_HUMAN,386268044475.1739,91.4915953963816,274609.1469616367,frontal cortex
sp|P07737|PROF1_HUMAN,381383017886.9889,91.47323367160016,271136.2399908075,frontal cortex
sp|P07451|CAH3_HUMAN,381080262009.125,91.47208795235552,270921.00206329324,frontal cortex
sp|P06733|ENOA_HUMAN,372573749922.9069,91.43951909768514,264873.47610035964,frontal cortex
sp|P60174|TPIS_HUMAN,369070805840.3588,91.42589068877139,262383.13163588336,frontal cortex
sp|P30086|PEBP1_HUMAN,351100428394.1667,91.35387682294784,249607.46952336645,frontal cortex
sp|P07951|TPM2_HUMAN,350986358340.1739,91.35340802534114,249526.37381620437,frontal cortex
sp|P02814|SMR3B_HUMAN,350153481770.0,91.34998049949279,248934.25772549707,frontal cortex
sp|P08590|MYL3_HUMAN,339062958586.9231,91.30354625013695,241049.68338852073,frontal cortex
sp|P02647|APOA1_HUMAN,337612978051.5667,91.29736342962813,240018.8502051384,frontal cortex
sp|P23763|VAMP1_HUMAN,326585754978.0,91.24945493120754,232179.2777504658,frontal cortex
sp|P40926|MDHM_HUMAN,321569588770.9583,91.22712404196258,228613.13982413252,frontal cortex
sp|Q96A32|MYL11_HUMAN,312257638246.9167,91.18472992897748,221993.00433394342,frontal cortex
sp|P69892|HBG2_HUMAN,297340360834.75,91.11410837368297,211387.87951521546,frontal cortex
sp|P06576|ATPB_HUMAN,294972721372.5548,91.10257460883389,209704.656006759,frontal cortex
sp|Q01995|TAGL_HUMAN,263794400052.41177,90.9414070051555,187539.08382474387,frontal cortex
sp|P01009|A1AT_HUMAN,263466855649.3846,90.93961454746363,187306.2230163134,frontal cortex
sp|P01876|IGHA1_HUMAN,262225070990.94446,90.93279869273962,186423.4023153993,frontal cortex
sp|P04271|S100B_HUMAN,254016127132.8,90.8869131610471,180587.42622940466,frontal cortex
sp|P17661|DESM_HUMAN,234601361501.00555,90.77220445245015,166784.9066970134,frontal cortex
sp|P09211|GSTP1_HUMAN,216395788371.0909,90.65566548724115,153842.03715690866,frontal cortex
sp|P51884|LUM_HUMAN,206440074504.63126,90.58771612283412,146764.2316501724,frontal cortex
sp|P04075|ALDOA_HUMAN,196409003349.67502,90.51585413045026,139632.85246317092,frontal cortex
sp|Q16555|DPYL2_HUMAN,192217592084.61765,90.48473344651353,136653.05672669815,frontal cortex
sp|P02790|HEMO_HUMAN,190703252057.48148,90.47332251252851,135576.4685154555,frontal cortex
sp|P09972|ALDOC_HUMAN,182294501662.01248,90.40826411412108,129598.4441716336,frontal cortex
sp|P40925|MDHC_HUMAN,178776154991.08334,90.38014739036413,127097.14956070636,frontal cortex
sp|Q13642|FHL1_HUMAN,174753255759.45834,90.34731240056524,124237.15391232139,frontal cortex
sp|P12235|ADT1_HUMAN,173352903435.3619,90.33570506643404,123241.60286256173,frontal cortex
sp|P01037|CYTN_HUMAN,169968208521.66666,90.30725799104218,120835.32515911329,frontal cortex
sp|P14174|MIF_HUMAN,168867424983.33334,90.29788412134329,120052.74624073073,frontal cortex
sp|P61353|RL27_HUMAN,167394908951.66666,90.28524871772197,119005.89191993717,frontal cortex
sp|P63104|1433Z_HUMAN,163756177567.3842,90.25354239859084,116419.01232750801,frontal cortex
sp|P04792|HSPB1_HUMAN,160801971905.20712,90.22727816473844,114318.78190864967,frontal cortex
sp|Q04760|LGUL_HUMAN,159154776217.81818,90.21242351917536,113147.74275834317,frontal cortex
sp|P17540|KCRS_HUMAN,154255581658.38147,90.16731575992046,109664.7633661598,frontal cortex
sp|P21291|CSRP1_HUMAN,148460127655.3,90.11206858090236,105544.60716166718,frontal cortex
sp|P0DP23|CALM1_HUMAN;sp|P0DP24|CALM2_HUMAN;sp|P0DP25|CALM3_HUMAN,140018378307.0,90.02760926897109,99543.12290595987,frontal cortex
sp|P15090|FABP4_HUMAN,134852219719.5,89.9733723355132,95870.3510495422,frontal cortex
sp|P31415|CASQ1_HUMAN,133710285312.3158,89.96110351165238,95058.5167859311,frontal cortex
sp|P14618|KPYM_HUMAN,133516981326.77632,89.95901630884953,94921.0913806134,frontal cortex
sp|P09382|LEG1_HUMAN,131846654522.1,89.94085403114116,93733.60764868175,frontal cortex
sp|P0DOX7|IGK_HUMAN,131666730869.09091,89.9388839224737,93605.69470952525,frontal cortex
