"","protein","logFC","AveExpr","t","P.Value","adj.P.Val","B","significant","mean_BaP","mean_Control","ngood_BaP","ngood_Control"
"5286","sp|Q9Y5A7|NUB1_HUMAN",0.0800637413517557,23.4959445036814,0.66026797508095,0.522062589127759,0.894077941643955,-5.8224039180986,FALSE,23.4559126330055,23.5359763743573,6,6
"5287","sp|Q9Y5A9|YTHD2_HUMAN",-0.0411352185954082,25.222810449757,-0.258967383842122,0.800228722393641,0.961720964747377,-6.00750124078149,FALSE,25.2433780590547,25.2022428404593,6,6
"5288","sp|Q9Y5B0|CTDP1_HUMAN",-0.246429880072983,23.7302739874722,-0.742898447965629,0.472418293246239,0.885219343907569,-5.76547109699356,FALSE,23.8534889275087,23.6070590474357,6,6
"5289","sp|Q9Y5B6|PAXB1_HUMAN",-0.813760030167439,22.001266176012,-3.10495379472224,0.0105265552055715,0.44555669245121,-2.56140066417603,FALSE,22.4451352833761,21.6313752532086,5,6
"5290","sp|Q9Y5B9|SP16H_HUMAN",0.0604254820206802,30.4330931192085,0.26108807123603,0.798632491999577,0.961558970130631,-6.00693862413114,FALSE,30.4028803781982,30.4633058602189,6,6
"5291","sp|Q9Y5J1|UTP18_HUMAN",-0.267720174308045,25.8730403258711,-1.15161893628525,0.272813578442859,0.793473382171946,-5.39948899213951,FALSE,26.0069004130251,25.739180238717,6,6
"5292","sp|Q9Y5J5|PHLA3_HUMAN",0.675816047526287,22.9104595103453,0.977666564266183,0.412464466392088,0.866768775307582,-4.94657174799506,FALSE,22.4599154786611,23.1357315261874,1,2
"5293","sp|Q9Y5J6|T10B_HUMAN",-0.209705279725926,21.9498281307827,-0.655676983919099,0.566836803508254,0.903296918200164,-5.16277941653789,FALSE,22.0896316506,21.8799263708741,1,2
"5294","sp|Q9Y5J7|TIM9_HUMAN",0.107906127190069,24.0768064929252,0.314574897044266,0.758707548978974,0.94831834582584,-5.99125410377178,FALSE,24.0228534293302,24.1307595565203,6,6
"5295","sp|Q9Y5J9|TIM8B_HUMAN",0.105122779025476,23.3958819694909,0.558634140579516,0.592645349607485,0.907919849481917,-5.66508890538917,FALSE,23.3301802326,23.4353030116254,3,5
"5296","sp|Q9Y5K5|UCHL5_HUMAN",0.0239945854655781,25.7040588970719,0.113104236289469,0.911894561593027,0.978824642802366,-6.03525716881094,FALSE,25.6920616043391,25.7160561898047,6,6
