"","1_TechRep1","1_TechRep2","1_TechRep3","1_TechRep4","1_TechRep5","1_TechRep6","4_TechRep1","4_TechRep2","4_TechRep3","4_TechRep4","4_TechRep5","4_TechRep6","10_TechRep1","10_TechRep2","10_TechRep3","10_TechRep4","10_TechRep5","10_TechRep6"
"sp|Q05655|KPCD_HUMAN",15013750,147965200,121468480,116956360,123385575,114292190,108739135,96853345,139795335,183937250,138008860,118877780,30989370,NA,NA,NA,102122947,196623100
"sp|Q05682|CALD1_HUMAN",308600903.333333,389187693.333333,388549076.666667,391199190,395180040,418041223.333333,384682096.666667,385747200,395568676.666667,396373000,409111513.333333,403208653.333333,355543890,362913013.333333,371964303.333333,362907050,366955656.666667,385320413.333333
"sp|Q05775|EIF3J_YEAST",NA,NA,NA,NA,NA,NA,NA,15133570,13413590,11574540,9850603.5,9923531,26486420,26605920,26380450,17780681.5,16893780,67314790
"sp|Q05812|MSC3_YEAST",NA,NA,NA,NA,NA,NA,15001990,5633629.5,4452798,4899789.5,4480951,5267881.5,NA,10794807.5,10310790,10325100,14019790,13310580
"sp|Q05911|PUR8_YEAST",NA,NA,NA,NA,NA,NA,89417240,NA,1599780,4411830,NA,5369312,11375620,NA,NA,7829647,24352120,16793780
"sp|Q05D32|CTSL2_HUMAN",32322142.6666667,23454671.3333333,22698349.6666667,55775899.6666667,52168378,41775924,47987536.6666667,38854542.3333333,53886329.6666667,39091466.3333333,40152040,34493768,35212893.3333333,26656140,32042166.7666667,43021328.3333333,28786614.5666667,37075403.3333333
"sp|Q06070|YL407_YEAST",NA,NA,NA,NA,NA,NA,3159528,NA,NA,NA,NA,NA,11806504.3333333,11660380,NA,7977242,20596546.6666667,16146893.3333333
"sp|Q06106|MRD1_YEAST",NA,12085610,20322840,24445750,20847910,27741650,120911900,130298500,134279800,128831600,125998300,138593300,183616785,188711755,188395165,192166125,198498885,204582755
"sp|Q06108|RGC1_YEAST",6534540,8924740,7245621,NA,NA,NA,21019516.6666667,20196777.3333333,21045415,17430053.6666667,20310295.3333333,23032365.3333333,59516297.3333333,65270029,66098730,64824563,70132125.6666667,65307119
"sp|Q06124|PTN11_HUMAN",10872960,8035322.5,11531280,11359880,9290557,12751595,12892090,14258650,13567560,12877510,13670500,14232570,11068640,11248970,NA,NA,NA,11531560
"sp|Q06146|YL257_YEAST",9072450.5,18765590,27918644,26301909.5,14474020,18305455,77801989,74327609.3333333,80167847.3333333,73771760,63458566.6666667,72109405.3333333,128463131.666667,158031096.666667,168359776.333333,168667890,166864705.333333,190211209
"sp|Q06169|PEX30_YEAST",3002286,NA,NA,NA,4887367,NA,9803883,7874111,8269403,10502098.5,10270830,9203639.5,28123480,29726430,32306282.5,30616670,29958915,32375660
"sp|Q06178|NMA1_YEAST",10580760,5556675,14968520,33561780,NA,42644960,12678810,NA,NA,NA,NA,9260927,68956697.5,73471085,46165915,119578340,101031090,46999340
"sp|Q06210|GFPT1_HUMAN",237287800,306758980,335594920,345551400,348318107.4,367262600,345520607,361389315,348608015,346890200,351662827.75,349940410,553513482,446522100,507103600,1004076890,546498200,558101900
