Name	Fraction	Experiment
20130510_EXQ1_IgPa_QC_UPS1_01		UPS1_01
20130510_EXQ1_IgPa_QC_UPS1_02		UPS1_02
20130510_EXQ1_IgPa_QC_UPS1_03		UPS1_03
20130510_EXQ1_IgPa_QC_UPS1_04		UPS1_04
20130510_EXQ1_IgPa_QC_UPS2_01		UPS2_01
20130510_EXQ1_IgPa_QC_UPS2_02		UPS2_02
20130510_EXQ1_IgPa_QC_UPS2_03		UPS2_03
20130510_EXQ1_IgPa_QC_UPS2_04		UPS2_04
