ProteinName,Ibaq,IbaqLog,IbaqPpb,Condition
sp|O95985|TOP3B_HUMAN,12639324.2125,77.0306832551052,12.177178714803194,stomach
sp|O43586|PPIP1_HUMAN,12601983.752222223,77.02641478088506,12.1412035747996,stomach
sp|Q8TEA7|TBCK_HUMAN,12578270.768,77.02369752361287,12.118357634472368,stomach
sp|Q5SRE5|NU188_HUMAN,12559146.016095921,77.02150229485959,12.099932161884054,stomach
sp|Q99758|ABCA3_HUMAN,12556148.469565218,77.02115791940042,12.097044217940482,stomach
sp|O76095|JTB_HUMAN,12554928.844444444,77.02101777829117,12.095869187312973,stomach
sp|Q9Y287|ITM2B_HUMAN,12550319.457142858,77.0204880133435,12.091428338103514,stomach
sp|P04921|GLPC_HUMAN,12543117.1,77.01965984417708,12.084489328657924,stomach
sp|Q9H425|CA198_HUMAN,12529646.260869564,77.01810961100969,12.071511038618695,stomach
sp|P54803|GALC_HUMAN,12527445.928947369,77.01785623699993,12.069391159850019,stomach
sp|Q96B49|TOM6_HUMAN,12514958.0,77.01641737556251,12.057359840768935,stomach
sp|Q53QV2|LBH_HUMAN,12511986.0,77.01607472967801,12.0544965092702,stomach
sp|O14681|EI24_HUMAN,12506386.98235294,77.01542899023414,12.049102214656871,stomach
sp|Q70E73|RAPH1_HUMAN,12494544.13125,77.01406219123321,12.037692386730258,stomach
sp|P35658|NU214_HUMAN,12484349.711011237,77.01288460183052,12.027870716279043,stomach
sp|Q7L2E3|DHX30_HUMAN,12481237.430588236,77.01252490097269,12.024872233584533,stomach
sp|P06340|DOA_HUMAN,12477126.272727273,77.01204961764223,12.020911396505273,stomach
sp|P30679|GNA15_HUMAN,12449333.038461538,77.00883237949688,11.994134396799739,stomach
sp|Q15283|RASA2_HUMAN,12443590.227118643,77.00816671837674,11.988601566177458,stomach
sp|P54687|BCAT1_HUMAN,12435755.166666666,77.0072580446915,11.981052987648976,stomach
sp|Q86Y79|PTH_HUMAN,12400603.5,77.00317426013017,11.947186609990917,stomach
sp|Q8NC54|KCT2_HUMAN,12398641.133333333,77.00294593892876,11.945295995492685,stomach
sp|Q8N9N2|ASCC1_HUMAN,12394372.523809524,77.0024491617368,11.941183463828715,stomach
sp|Q16787|LAMA3_HUMAN,12390817.458086124,77.00203529557496,11.937758385879222,stomach
sp|Q8TCF1|ZFAN1_HUMAN,12385275.8,77.00138992160988,11.932419353526186,stomach
sp|Q96MF6|CQ10A_HUMAN,12358571.47368421,76.99827591806164,11.906691446832866,stomach
sp|P08218|CEL2B_HUMAN,12354233.107692309,76.99776938395736,11.902511709283184,stomach
sp|Q9Y4B5|MTCL1_HUMAN,12343925.698951613,76.99656520930982,11.89258118165277,stomach
sp|Q8IVG5|SAM9L_HUMAN,12332980.264705917,76.99528539531974,11.882035957344879,stomach
sp|Q16619|CTF1_HUMAN,12330943.981818182,76.99504717408605,11.880074129305584,stomach
sp|Q9UKN8|TF3C4_HUMAN,12321633.798333334,76.9939574903782,11.87110436428836,stomach
sp|Q13546|RIPK1_HUMAN,12286524.074358974,76.98984075321349,11.837278395725868,stomach
sp|Q5T2T1|MPP7_HUMAN,12278136.555555556,76.9888555466653,11.82919755898762,stomach
sp|Q969G3|SMCE1_HUMAN,12263303.375999998,76.9871115775053,11.814906741273001,stomach
sp|Q9H3R2|MUC13_HUMAN,12262400.0375,76.98700530190106,11.814036432531054,stomach
sp|P01566|IFN10_HUMAN,12258949.42,76.98659927295908,11.810711983749815,stomach
sp|Q96NT0|CC115_HUMAN,12251597.890909093,76.98573384839341,11.803629256694004,stomach
sp|Q9BYN8|RT26_HUMAN,12204956.893333334,76.98023112586564,11.758693645155928,stomach
sp|O75787|RENR_HUMAN,12196174.273529412,76.97919259675011,11.750232153929144,stomach
sp|Q06432|CCG1_HUMAN,12194916.42857143,76.97904379760809,11.749020300938323,stomach
sp|Q9UKB3|DJC12_HUMAN,12186102.680769231,76.97800072793633,11.740528819880465,stomach
sp|P18433|PTPRA_HUMAN,12181473.676046511,76.97745260266197,11.736069070543197,stomach
sp|Q9Y2P4|S27A6_HUMAN,12142975.389473684,76.97288589421586,11.698978439119454,stomach
sp|Q8WUF5|IASPP_HUMAN,12142922.604994757,76.97287962292987,11.698927584657422,stomach
sp|P49916|DNLI3_HUMAN,12139808.113043478,76.97250954411379,11.695926971297174,stomach
sp|P36021|MOT8_HUMAN,12128358.78125,76.97114826326407,11.68489627400116,stomach
sp|Q96AT1|K1143_HUMAN,12120915.69090909,76.97026261945867,11.677725333549924,stomach
sp|O95490|AGRL2_HUMAN,12119966.153246753,76.9701495960723,11.67681051487637,stomach
sp|P02462|CO4A1_HUMAN,12117302.791477272,76.96983252909243,11.674244536529438,stomach
sp|Q01955|CO4A3_HUMAN,12105751.398913044,76.96845655578203,11.663115510222767,stomach
